"",BBK01.OUD029,BBK01.OUD029_FLAGS
"",Sight deposits of foreign banks (MFIs) / Regional banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:10:56,
1958-12,0.209,
1959-01,-,Nothing exists
1959-02,-,Nothing exists
1959-03,-,Nothing exists
1959-04,-,Nothing exists
1959-05,-,Nothing exists
1959-06,0.203,
1959-07,-,Nothing exists
1959-08,-,Nothing exists
1959-09,-,Nothing exists
1959-10,-,Nothing exists
1959-11,-,Nothing exists
1959-12,0.206,
1960-01,-,Nothing exists
1960-02,-,Nothing exists
1960-03,-,Nothing exists
1960-04,-,Nothing exists
1960-05,-,Nothing exists
1960-06,0.264,
1960-07,-,Nothing exists
1960-08,-,Nothing exists
1960-09,-,Nothing exists
1960-10,-,Nothing exists
1960-11,-,Nothing exists
1960-12,0.418,
1961-01,-,Nothing exists
1961-02,-,Nothing exists
1961-03,-,Nothing exists
1961-04,-,Nothing exists
1961-05,-,Nothing exists
1961-06,0.621,
1961-07,-,Nothing exists
1961-08,-,Nothing exists
1961-09,-,Nothing exists
1961-10,-,Nothing exists
1961-11,-,Nothing exists
1961-12,0.625,
1962-01,-,Nothing exists
1962-02,-,Nothing exists
1962-03,-,Nothing exists
1962-04,-,Nothing exists
1962-05,-,Nothing exists
1962-06,0.496,
1962-07,-,Nothing exists
1962-08,-,Nothing exists
1962-09,-,Nothing exists
1962-10,-,Nothing exists
1962-11,-,Nothing exists
1962-12,0.508,
1963-01,-,Nothing exists
1963-02,-,Nothing exists
1963-03,-,Nothing exists
1963-04,-,Nothing exists
1963-05,-,Nothing exists
1963-06,0.395,
1963-07,-,Nothing exists
1963-08,-,Nothing exists
1963-09,-,Nothing exists
1963-10,-,Nothing exists
1963-11,-,Nothing exists
1963-12,0.567,
1964-01,-,Nothing exists
1964-02,-,Nothing exists
1964-03,-,Nothing exists
1964-04,-,Nothing exists
1964-05,-,Nothing exists
1964-06,0.438,
1964-07,-,Nothing exists
1964-08,-,Nothing exists
1964-09,-,Nothing exists
1964-10,-,Nothing exists
1964-11,-,Nothing exists
1964-12,0.539,
1965-01,0.445,
1965-02,0.395,
1965-03,0.417,
1965-04,0.458,
1965-05,0.455,
1965-06,0.466,
1965-07,0.477,
1965-08,0.438,
1965-09,0.455,
1965-10,0.514,
1965-11,0.506,
1965-12,0.646,
1966-01,0.495,
1966-02,0.503,
1966-03,0.459,
1966-04,0.497,
1966-05,0.468,
1966-06,0.504,
1966-07,0.532,
1966-08,0.563,
1966-09,0.552,
1966-10,0.583,
1966-11,0.569,
1966-12,0.569,
1967-01,0.393,
1967-02,0.380,
1967-03,0.347,
1967-04,0.332,
1967-05,0.369,
1967-06,0.364,
1967-07,0.399,
1967-08,0.420,
1967-09,0.406,
1967-10,0.490,
1967-11,0.581,
1967-12,0.712,
1968-01,0.578,
1968-02,0.617,
1968-03,0.711,
1968-04,0.637,
1968-05,0.643,
1968-06,0.664,
1968-07,0.789,
1968-08,0.808,
1968-09,0.732,
1968-10,0.753,
1968-11,1.031,
1968-12,0.450,
1969-01,0.431,
1969-02,0.435,
1969-03,0.443,
1969-04,0.560,
1969-05,0.660,
1969-06,0.580,
1969-07,0.620,
1969-08,0.618,
1969-09,0.566,
1969-10,0.528,
1969-11,0.589,
1969-12,0.785,
1970-01,0.590,
1970-02,0.563,
1970-03,0.562,
1970-04,0.514,
1970-05,0.609,
1970-06,0.548,
1970-07,0.557,
1970-08,0.533,
1970-09,0.539,
1970-10,0.516,
1970-11,0.542,
1970-12,0.713,
1971-01,0.621,
1971-02,0.528,
1971-03,0.510,
1971-04,0.578,
1971-05,0.639,
1971-06,0.480,
1971-07,0.537,
1971-08,0.687,
1971-09,0.535,
1971-10,0.523,
1971-11,0.511,
1971-12,0.824,
1972-01,0.568,
1972-02,0.558,
1972-03,0.502,
1972-04,0.491,
1972-05,0.470,
1972-06,0.553,
1972-07,0.698,
1972-08,0.631,
1972-09,0.568,
1972-10,0.610,
1972-11,0.554,
1972-12,0.756,
1973-01,0.587,
1973-02,1.070,
1973-03,1.070,
1973-04,0.674,
1973-05,0.714,
1973-06,0.652,
1973-07,0.707,
1973-08,0.644,
1973-09,0.732,
1973-10,0.606,
1973-11,0.651,
1973-12,0.722,
1974-01,0.703,
1974-02,0.729,
1974-03,0.711,
1974-04,0.828,
1974-05,0.870,
1974-06,0.934,
1974-07,0.735,
1974-08,0.630,
1974-09,0.717,
1974-10,0.802,
1974-11,0.842,
1974-12,0.971,
1975-01,0.802,
1975-02,0.806,
1975-03,0.886,
1975-04,0.809,
1975-05,0.801,
1975-06,0.791,
1975-07,0.807,
1975-08,0.739,
1975-09,0.665,
1975-10,0.845,
1975-11,0.676,
1975-12,0.837,
1976-01,0.745,
1976-02,0.671,
1976-03,0.834,
1976-04,0.907,
1976-05,0.869,
1976-06,0.830,
1976-07,0.741,
1976-08,0.759,
1976-09,0.804,
1976-10,0.916,
1976-11,0.712,
1976-12,0.955,
1977-01,0.785,
1977-02,0.791,
1977-03,0.815,
1977-04,0.787,
1977-05,0.928,
1977-06,0.862,
1977-07,0.818,
1977-08,0.806,
1977-09,0.894,
1977-10,0.811,
1977-11,0.843,
1977-12,1.007,
1978-01,0.833,
1978-02,0.793,
1978-03,0.836,
1978-04,0.845,
1978-05,0.855,
1978-06,0.785,
1978-07,0.994,
1978-08,0.918,
1978-09,0.942,
1978-10,0.954,
1978-11,0.911,
1978-12,1.209,
1979-01,1.172,
1979-02,0.960,
1979-03,0.949,
1979-04,0.946,
1979-05,1.025,
1979-06,0.990,
1979-07,0.873,
1979-08,0.926,
1979-09,1.128,
1979-10,1.095,
1979-11,0.971,
1979-12,1.541,
1980-01,1.018,
1980-02,1.087,
1980-03,1.259,
1980-04,1.051,
1980-05,1.093,
1980-06,1.305,
1980-07,1.128,
1980-08,1.212,
1980-09,1.255,
1980-10,1.285,
1980-11,1.325,
1980-12,1.548,
1981-01,1.403,
1981-02,1.324,
1981-03,1.428,
1981-04,1.424,
1981-05,1.659,
1981-06,1.757,
1981-07,1.608,
1981-08,1.559,
1981-09,1.581,
1981-10,1.498,
1981-11,1.846,
1981-12,1.546,
1982-01,1.769,
1982-02,1.437,
1982-03,1.361,
1982-04,1.501,
1982-05,1.480,
1982-06,1.790,
1982-07,1.602,
1982-08,1.785,
1982-09,1.875,
1982-10,1.537,
1982-11,1.720,
1982-12,1.796,
1983-01,1.673,
1983-02,1.742,
1983-03,2.316,
1983-04,1.795,
1983-05,1.965,
1983-06,2.411,
1983-07,1.876,
1983-08,1.773,
1983-09,1.844,
1983-10,1.881,
1983-11,1.604,
1983-12,2.260,
1984-01,1.907,
1984-02,2.116,
1984-03,1.960,
1984-04,2.357,
1984-05,2.169,
1984-06,2.413,
1984-07,2.333,
1984-08,2.093,
1984-09,2.625,
1984-10,2.561,
1984-11,2.520,
1984-12,3.017,
1985-01,2.421,
1985-02,3.045,
1985-03,2.605,
1985-04,2.739,
1985-05,2.339,
1985-06,2.705,
1985-07,2.520,
1985-08,2.449,
1985-09,2.886,
1985-10,2.652,
1985-11,3.001,
1985-12,3.085,
1986-01,2.550,
1986-02,2.872,
1986-03,3.312,
1986-04,2.792,
1986-05,3.013,
1986-06,3.331,
1986-07,2.782,
1986-08,2.753,
1986-09,3.356,
1986-10,3.634,
1986-11,3.367,
1986-12,3.567,
1987-01,3.429,
1987-02,3.272,
1987-03,3.872,
1987-04,4.012,
1987-05,4.003,
