"",BBFB1.Q.N.DE.AU.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:49,
1991-01,1.526,
1991-04,-0.094,
1991-07,1.617,
1991-10,5.216,
1992-01,1.419,
1992-04,2.316,
1992-07,-2.173,
1992-10,11.820,
1993-01,-4.065,
1993-04,-4.315,
1993-07,-4.069,
1993-10,-4.341,
1994-01,0.252,
1994-04,12.587,
1994-07,0.774,
1994-10,0.468,
1995-01,-11.850,
1995-04,-6.004,
1995-07,-9.903,
1995-10,12.671,
1996-01,-32.130,
1996-04,41.800,
1996-07,76.220,
1996-10,89.554,
1997-01,-90.558,
1997-04,-132.479,
1997-07,-87.305,
1997-10,23.474,
1998-01,13.999,
1998-04,21.478,
1998-07,-89.838,
1998-10,-30.886,
1999-01,-67.226,
1999-04,2.363,
1999-07,-32.099,
1999-10,-74.589,
2000-01,-61.371,
2000-04,72.817,
2000-07,98.621,
2000-10,78.557,
2001-01,-152.947,
2001-04,52.202,
2001-07,-42.642,
2001-10,19.553,
2002-01,15.524,
2002-04,41.935,
2002-07,1512.964,
2002-10,-22.043,
2003-01,299.272,
2003-04,107.479,
2003-07,106.157,
2003-10,61.138,
2004-01,647.087,
2004-04,380.675,
2004-07,142.546,
2004-10,65.373,
2005-01,91.599,
2005-04,13.871,
2005-07,52.559,
2005-10,96.425,
2006-01,-40.195,
2006-04,-96.411,
2006-07,-35.810,
2006-10,108.893,
2007-01,151.455,
2007-04,56.055,
2007-07,309.445,
2007-10,504.700,
2008-01,-2.981,
2008-04,581.451,
2008-07,31.372,
2008-10,132.886,
2009-01,250.683,
2009-04,-230.650,
2009-07,-14.512,
2009-10,23.367,
2010-01,25.077,
2010-04,170.591,
2010-07,285.903,
2010-10,131.211,
2011-01,-444.735,
2011-04,513.061,
2011-07,-147.033,
2011-10,-176.275,
2012-01,-133.208,
2012-04,191.937,
2012-07,-131.667,
2012-10,119.359,
2013-01,-270.498,
2013-04,-95.776,
2013-07,5.683,
2013-10,-127.163,
2014-01,-133.508,Provisional value
2014-04,-118.278,Provisional value
2014-07,8.725,Provisional value
2014-10,-397.893,Provisional value
