"",BBK01.CELI10,BBK01.CELI10_FLAGS
"",Listed Shares                                             debtor: Non-financial corporations creditor:Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:52,
1999-01,5.8,
1999-04,17.9,
1999-07,19.1,
1999-10,9.4,
2000-01,15.5,
2000-04,25.3,
2000-07,14.3,
2000-10,8.1,
2001-01,3.1,
2001-04,29.8,
2001-07,-2.6,
2001-10,-3.0,
2002-01,-2.6,
2002-04,1.2,
2002-07,0.4,
2002-10,-0.1,
2003-01,0.1,
2003-04,0.3,
2003-07,1.9,
2003-10,0.5,
2004-01,-0.1,
2004-04,2.1,
2004-07,0.0,
2004-10,1.0,
2005-01,1.9,
2005-04,0.7,
2005-07,2.9,
2005-10,3.9,
2006-01,0.2,
2006-04,1.5,
2006-07,3.1,
2006-10,1.3,
2007-01,2.5,
2007-04,1.5,
2007-07,0.8,
2007-10,2.3,
2008-01,1.1,
2008-04,0.9,
2008-07,0.5,
2008-10,0.6,
2009-01,2.2,
2009-04,0.6,
2009-07,4.0,
2009-10,1.7,
2010-01,6.5,
2010-04,0.4,
2010-07,0.5,
2010-10,0.7,
2011-01,0.5,
2011-04,5.7,
2011-07,0.2,
2011-10,2.0,
2012-01,0.7,
2012-04,0.6,
2012-07,0.8,
2012-10,1.2,
2013-01,0.6,
2013-04,1.5,
2013-07,-0.2,
2013-10,1.4,
2014-01,0.6,
2014-04,1.9,
2014-07,4.3,
