"",BBFN1.M.DE.N.1.A.SE.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SE.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Sweden,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:19,
1994-07,1.193,
1994-08,1.334,
1994-09,1.467,
1994-10,1.541,
1994-11,1.585,
1994-12,1.626,
1995-01,1.626,
1995-02,1.634,
1995-03,1.702,
1995-04,1.667,
1995-05,1.670,
1995-06,1.716,
1995-07,1.537,
1995-08,1.643,
1995-09,1.733,
1995-10,1.749,
1995-11,1.768,
1995-12,1.575,
1996-01,1.495,
1996-02,1.571,
1996-03,1.644,
1996-04,1.643,
1996-05,1.632,
1996-06,1.572,
1996-07,1.412,
1996-08,1.455,
1996-09,1.624,
1996-10,1.740,
1996-11,1.865,
1996-12,1.711,
1997-01,1.671,
1997-02,1.626,
1997-03,1.661,
1997-04,1.714,
1997-05,1.659,
1997-06,1.701,
1997-07,1.590,
1997-08,1.642,
1997-09,1.782,
1997-10,1.880,
1997-11,2.013,
1997-12,1.885,
1998-01,1.785,
1998-02,1.868,
1998-03,1.909,
1998-04,1.926,
1998-05,1.957,
1998-06,1.931,
1998-07,1.825,
1998-08,1.886,
1998-09,2.035,
1998-10,2.001,
1998-11,2.091,
1998-12,2.509,
1999-01,2.349,
1999-02,2.109,
1999-03,2.209,
1999-04,2.248,
1999-05,2.185,
1999-06,2.135,
1999-07,1.918,
1999-08,1.941,
1999-09,2.083,
1999-10,2.212,
1999-11,2.324,
1999-12,2.156,
2000-01,2.030,
2000-02,2.144,
2000-03,2.193,
2000-04,2.239,
2000-05,2.297,
2000-06,2.203,
2000-07,1.989,
2000-08,2.047,
2000-09,2.235,
2000-10,2.271,
2000-11,2.265,
2000-12,2.246,
2001-01,2.113,
2001-02,2.147,
2001-03,2.246,
2001-04,2.134,
2001-05,2.147,
2001-06,2.126,
2001-07,1.983,
2001-08,1.987,
2001-09,2.053,
2001-10,2.163,
2001-11,2.233,
2001-12,2.037,
2002-01,1.808,
2002-02,1.958,
2002-03,1.885,
2002-04,1.912,
2002-05,1.865,
2002-06,1.931,
2002-07,1.694,
2002-08,1.680,
2002-09,1.882,
2002-10,1.963,
2002-11,2.061,
2002-12,1.944,
2003-01,1.858,
2003-02,1.982,
2003-03,2.043,
2003-04,2.060,
2003-05,2.023,
2003-06,1.983,
2003-07,1.731,
2003-08,1.840,
2003-09,2.023,
2003-10,2.064,
2003-11,2.081,
2003-12,1.986,
2004-01,1.874,
2004-02,2.012,
2004-03,2.162,
2004-04,2.136,
2004-05,2.243,
2004-06,2.181,
2004-07,1.925,
2004-08,1.970,
2004-09,2.102,
2004-10,2.185,
2004-11,2.275,
2004-12,2.111,
2005-01,1.974,
2005-02,2.008,
2005-03,2.232,
2005-04,2.250,
2005-05,2.238,
2005-06,2.266,
2005-07,2.017,
2005-08,2.015,
2005-09,2.175,
2005-10,2.315,
2005-11,2.327,
2005-12,2.266,
2006-01,2.143,
2006-02,2.310,
2006-03,2.442,
2006-04,2.376,
2006-05,2.383,
2006-06,2.374,
2006-07,2.130,
2006-08,2.162,
2006-09,2.473,
2006-10,2.534,
2006-11,2.637,
2006-12,2.612,
2007-01,2.524,
2007-02,2.590,
2007-03,2.728,
2007-04,2.646,
2007-05,2.763,
2007-06,2.764,
2007-07,2.463,
2007-08,2.553,
2007-09,2.747,
2007-10,3.018,
2007-11,3.100,
2007-12,3.027,
2008-01,2.824,
2008-02,2.939,
2008-03,3.032,
2008-04,3.155,
2008-05,3.261,
2008-06,3.163,
2008-07,2.773,
2008-08,2.850,
2008-09,3.172,
2008-10,3.172,
2008-11,3.124,
2008-12,2.875,
2009-01,2.636,
2009-02,2.471,
2009-03,2.657,
2009-04,2.445,
2009-05,2.559,
2009-06,2.608,
2009-07,2.605,
2009-08,2.413,
2009-09,2.490,
2009-10,2.646,
2009-11,2.719,
2009-12,2.530,
2010-01,2.410,
2010-02,2.562,
2010-03,2.854,
2010-04,2.729,
2010-05,2.793,
2010-06,3.003,
2010-07,2.810,
2010-08,2.766,
2010-09,3.018,
2010-10,3.140,
2010-11,3.225,
2010-12,3.164,
2011-01,3.098,
2011-02,3.191,
2011-03,3.238,
2011-04,3.382,
2011-05,3.414,
2011-06,3.355,
2011-07,3.033,
2011-08,3.097,
2011-09,3.299,
2011-10,3.290,
2011-11,3.333,
2011-12,3.367,
2012-01,3.241,
2012-02,3.339,
2012-03,3.650,
2012-04,3.491,
2012-05,3.360,
2012-06,3.562,
2012-07,3.377,
2012-08,3.477,
2012-09,3.759,
2012-10,3.796,
2012-11,3.917,
2012-12,3.698,
2013-01,3.617,
2013-02,3.868,
2013-03,4.174,
2013-04,4.044,
2013-05,3.945,
2013-06,4.158,
2013-07,2.856,
2013-08,2.940,
2013-09,4.249,
2013-10,4.207,
2013-11,4.233,
2013-12,4.293,
2014-01,4.211,
2014-02,4.384,
2014-03,4.512,
2014-04,4.487,
2014-05,4.408,
2014-06,4.358,
2014-07,4.322,
2014-08,4.258,
2014-09,4.554,
2014-10,4.575,
2014-11,4.605,
2014-12,4.491,
