"",BBK01.OEYO03G,BBK01.OEYO03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:43,
2002-01,0.669,
2002-04,0.627,
2002-07,0.618,
2002-10,0.676,
2003-01,0.702,
2003-04,0.579,
2003-07,0.688,
2003-10,0.918,
2004-01,0.799,
2004-04,0.684,
2004-07,0.628,
2004-10,0.951,
2005-01,0.718,
2005-04,0.715,
2005-07,0.800,
2005-10,1.064,
2006-01,1.137,
2006-04,1.073,
2006-07,1.032,
2006-10,1.198,
2007-01,1.123,
2007-04,1.115,
2007-07,0.915,
2007-10,0.983,
2008-01,0.907,
2008-04,0.949,
2008-07,0.819,
2008-10,1.107,
2009-01,0.698,
2009-04,0.751,
2009-07,0.787,
2009-10,1.191,
2010-01,0.737,
2010-04,0.661,
2010-07,0.619,
2010-10,0.830,
2011-01,0.773,
2011-04,0.917,
2011-07,0.838,
2011-10,0.894,
2012-01,0.758,
2012-04,0.862,
2012-07,0.773,
2012-10,0.830,
2013-01,0.822,
2013-04,0.722,
2013-07,0.695,
2013-10,0.912,
2014-01,0.802,
2014-04,0.732,
2014-07,0.721,
