"",BBK01.OEXB03J,BBK01.OEXB03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:18,
2002-01,0.468,
2002-04,0.443,
2002-07,0.370,
2002-10,0.353,
2003-01,0.335,
2003-04,0.333,
2003-07,0.352,
2003-10,0.347,
2004-01,0.343,
2004-04,0.339,
2004-07,0.318,
2004-10,0.324,
2005-01,0.308,
2005-04,0.308,
2005-07,0.303,
2005-10,0.287,
2006-01,0.281,
2006-04,0.283,
2006-07,0.331,
2006-10,0.341,
2007-01,0.380,
2007-04,0.356,
2007-07,0.357,
2007-10,0.367,
2008-01,0.371,
2008-04,0.375,
2008-07,0.387,
2008-10,0.400,
2009-01,0.416,
2009-04,0.411,
2009-07,0.412,
2009-10,0.409,
2010-01,0.405,
2010-04,0.384,
2010-07,0.356,
2010-10,0.358,
2011-01,0.345,
2011-04,0.341,
2011-07,0.348,
2011-10,0.330,
2012-01,0.316,
2012-04,0.309,
2012-07,0.263,
2012-10,0.275,
2013-01,0.262,
2013-04,0.249,
2013-07,0.256,
2013-10,0.276,
2014-01,0.273,
2014-04,0.285,
2014-07,0.289,
