"",BBK01.OEAF22M,BBK01.OEAF22M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:33,
2002-01,11.724,
2002-04,11.792,
2002-07,12.033,
2002-10,12.235,
2003-01,12.172,
2003-04,12.423,
2003-07,12.780,
2003-10,12.602,
2004-01,12.439,
2004-04,12.711,
2004-07,12.725,
2004-10,11.644,
2005-01,12.900,
2005-04,11.679,
2005-07,11.386,
2005-10,11.541,
2006-01,11.486,
2006-04,12.178,
2006-07,12.569,
2006-10,12.332,
2007-01,11.965,
2007-04,11.411,
2007-07,11.663,
2007-10,11.639,
2008-01,10.825,
2008-04,10.754,
2008-07,10.195,
2008-10,10.341,
2009-01,10.849,
2009-04,11.835,
2009-07,12.600,
2009-10,13.312,
2010-01,13.612,
2010-04,13.449,
2010-07,13.895,
2010-10,14.331,
2011-01,14.025,
2011-04,13.954,
2011-07,13.824,
2011-10,13.994,
2012-01,14.305,
2012-04,14.964,
2012-07,15.396,
2012-10,15.835,
2013-01,15.368,
2013-04,15.949,
2013-07,15.982,
2013-10,16.388,
2014-01,16.716,
2014-04,16.119,
2014-07,16.732,
