"",BBSF2.M.1.S.00000.GEF01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEF01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Shares / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:06,
2004-01,319,
2004-02,325,
2004-03,321,
2004-04,325,
2004-05,319,
2004-06,336,
2004-07,324,
2004-08,271,
2004-09,293,
2004-10,294,
2004-11,334,
2004-12,470,
2005-01,1350,
2005-02,1637,
2005-03,2786,
2005-04,2757,
2005-05,3036,
2005-06,3275,
2005-07,4145,
2005-08,4682,
2005-09,5239,
2005-10,5467,
2005-11,6700,
2005-12,7628,
2006-01,10300,
2006-02,10718,
2006-03,10866,
2006-04,11103,
2006-05,10343,
2006-06,13386,
2006-07,13688,
2006-08,15030,
2006-09,15524,
2006-10,16645,
2006-11,16722,
2006-12,17453,
2007-01,17667,
2007-02,17231,
2007-03,17373,
2007-04,17730,
2007-05,17968,
2007-06,17692,
2007-07,16980,
2007-08,16411,
2007-09,17054,
2007-10,17827,
2007-11,17027,
2007-12,17090,
2008-01,14580,
2008-02,14455,
2008-03,13929,
2008-04,15169,
2008-05,15528,
2008-06,13357,
2008-07,14296,
2008-08,14539,
2008-09,13046,
2008-10,9681,
2008-11,9582,
2008-12,9243,
2009-01,10137,
2009-02,8505,
2009-03,8618,
2009-04,16244,
2009-05,18868,
2009-06,18543,
2009-07,19427,
2009-08,20602,
2009-09,22370,
2009-10,4500,
2009-11,4002,
2009-12,4033,
2010-01,3969,
2010-02,4036,
2010-03,4488,
2010-04,4531,
2010-05,4400,
2010-06,4582,
2010-07,4706,
2010-08,4593,
2010-09,4854,
2010-10,5293,
2010-11,4986,
2010-12,4901,
2011-01,5084,
2011-02,5115,
2011-03,5090,
2011-04,5439,
2011-05,5092,
2011-06,5158,
2011-07,4998,
2011-08,4011,
2011-09,3833,
2011-10,4274,
2011-11,4020,
2011-12,3947,
2012-01,4254,
2012-02,4570,
2012-03,4603,
2012-04,5344,
2012-05,4544,
2012-06,4568,
2012-07,5241,
2012-08,5337,
2012-09,5137,
2012-10,5632,
2012-11,5613,
2012-12,5102,
2013-01,5339,
2013-02,5656,
2013-03,5862,
2013-04,5923,
2013-05,6245,
2013-06,5478,
2013-07,6104,
2013-08,6211,
2013-09,6307,
2013-10,6704,
2013-11,7443,
2013-12,6723,
2014-01,6390,
2014-02,6721,
2014-03,6728,
2014-04,6496,
2014-05,6806,
2014-06,6697,
2014-07,6231,
2014-08,5316,
2014-09,5381,
2014-10,5299,
2014-11,5420,
