"",BBK01.PQN359,BBK01.PQN359_FLAGS
"",Lending to domestic self-employed persons / Short-term / Banks with special functions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:10,
1968-10,0.005,
1969-01,0.006,
1969-04,0.007,
1969-07,0.007,
1969-10,0.010,
1970-01,0.010,
1970-04,0.011,
1970-07,0.012,
1970-10,0.014,
1971-01,0.013,
1971-04,0.013,
1971-07,0.014,
1971-10,0.014,
1972-01,0.014,
1972-04,0.016,
1972-07,0.017,
1972-10,0.021,
1973-01,0.025,
1973-04,0.027,
1973-07,0.028,
1973-10,0.029,
1974-01,0.030,
1974-04,0.033,
1974-07,0.034,
1974-10,0.038,
1975-01,0.041,
1975-04,0.039,
1975-07,0.038,
1975-10,0.039,
1976-01,0.037,
1976-04,0.037,
1976-07,0.033,
1976-10,0.030,
1977-01,0.030,
1977-04,0.029,
1977-07,0.026,
1977-10,0.026,
1978-01,0.021,
1978-04,0.019,
1978-07,0.018,
1978-10,0.017,
1979-01,0.016,
1979-04,0.016,
1979-07,0.017,
1979-10,0.020,
1980-01,0.018,
1980-04,0.021,
1980-07,0.024,
1980-10,0.027,
1981-01,0.026,
1981-04,0.034,
1981-07,0.041,
1981-10,0.054,
1982-01,0.051,
1982-04,0.050,
1982-07,0.047,
1982-10,0.065,
1983-01,0.050,
1983-04,0.054,
1983-07,0.050,
1983-10,0.052,
1984-01,0.087,
1984-04,0.085,
1984-07,0.087,
1984-10,0.053,
1985-01,0.047,
1985-04,0.049,
1985-07,0.041,
1985-10,0.034,
1986-01,0.029,
1986-04,0.031,
1986-07,0.031,
1986-10,0.035,
1987-01,0.035,
1987-04,0.024,
1987-07,0.025,
1987-10,0.026,
1988-01,0.023,
1988-04,0.028,
1988-07,0.030,
1988-10,0.027,
1989-01,0.025,
1989-04,0.024,
1989-07,0.025,
1989-10,0.027,
1990-01,0.023,
1990-04,0.030,
1990-07,0.030,
1990-10,0.032,
1991-01,0.028,
1991-04,0.039,
1991-07,0.033,
1991-10,0.040,
1992-01,0.066,
1992-04,0.069,
1992-07,0.071,
1992-10,0.104,
1993-01,0.215,
1993-04,0.122,
1993-07,0.131,
1993-10,0.182,
1994-01,0.143,
1994-04,0.173,
1994-07,0.186,
1994-10,0.219,
1995-01,0.200,
1995-04,0.171,
1995-07,0.173,
1995-10,0.180,
1996-01,0.162,
1996-04,0.170,
1996-07,0.174,
1996-10,0.145,
1997-01,0.148,
1997-04,0.169,
1997-07,0.160,
1997-10,0.190,
1998-01,0.196,
1998-04,0.186,
1998-07,0.197,
1998-10,0.240,
1999-01,0.207,
1999-04,0.214,
1999-07,0.253,
1999-10,0.244,
2000-01,0.214,
2000-04,0.217,
2000-07,0.239,
2000-10,0.201,
2001-01,0.205,
2001-04,0.222,
2001-07,0.235,
2001-10,0.254,
2002-01,0.262,
2002-04,0.285,
2002-07,0.300,
2002-10,0.326,
2003-01,0.295,
2003-04,0.307,
2003-07,0.313,
2003-10,0.322,
2004-01,0.327,
2004-04,0.342,
2004-07,0.348,
2004-10,0.047,
2005-01,0.055,
2005-04,0.021,
2005-07,0.028,
2005-10,0.024,
2006-01,0.023,
2006-04,0.026,
2006-07,0.028,
2006-10,0.022,
2007-01,0.020,
2007-04,0.023,
2007-07,0.021,
2007-10,0.021,
2008-01,0.015,
2008-04,0.014,
2008-07,0.013,
2008-10,0.016,
2009-01,0.017,
2009-04,0.015,
2009-07,0.035,
2009-10,0.015,
2010-01,0.014,
2010-04,0.030,
2010-07,0.022,
2010-10,0.018,
2011-01,0.019,
2011-04,0.020,
2011-07,0.015,
2011-10,0.018,
2012-01,0.015,
2012-04,0.015,
2012-07,0.015,
2012-10,0.011,
2013-01,0.013,
2013-04,0.012,
2013-07,0.011,
2013-10,0.011,
2014-01,0.012,
2014-04,0.012,
2014-07,0.011,
2014-10,0.009,
