"",BBSF2.M.1.P.00000.SON01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.P.00000.SON01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Public funds / Other funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:14,
2009-09,18,
2009-10,20,
2009-11,12,
2009-12,13,
2010-01,13,
2010-02,13,
2010-03,13,
2010-04,13,
2010-05,12,
2010-06,12,
2010-07,12,
2010-08,97,
2010-09,14,
2010-10,132,
2010-11,13,
2010-12,13,
2011-01,14,
2011-02,11,
2011-03,11,
2011-04,21,
2011-05,20,
2011-06,19,
2011-07,20,
2011-08,37,
2011-09,28,
2011-10,104,
2011-11,143,
2011-12,15,
2012-01,15,
2012-02,16,
2012-03,14,
2012-04,12,
2012-05,11,
2012-06,122,
2012-07,13,
2012-08,11,
2012-09,11,
2012-10,10,
2012-11,8,
2012-12,8,
2013-01,8,
2013-02,7,
2013-03,7,
2013-04,8,
2013-05,8,
2013-06,7,
2013-07,8,
2013-08,8,
2013-09,10,
2013-10,9,
2013-11,10,
2013-12,53,
2014-01,51,
2014-02,54,
2014-03,58,
2014-04,62,
2014-05,75,
2014-06,60,
2014-07,58,
2014-08,56,
2014-09,58,
2014-10,57,
2014-11,60,
