"",BBK01.OEAH04I,BBK01.OEAH04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:20,
2002-01,13.021,
2002-04,12.630,
2002-07,12.585,
2002-10,12.496,
2003-01,13.330,
2003-04,11.785,
2003-07,10.331,
2003-10,10.445,
2004-01,9.857,
2004-04,9.166,
2004-07,9.903,
2004-10,10.212,
2005-01,10.749,
2005-04,9.576,
2005-07,9.135,
2005-10,10.108,
2006-01,11.209,
2006-04,11.005,
2006-07,11.168,
2006-10,12.067,
2007-01,12.230,
2007-04,12.892,
2007-07,16.520,
2007-10,17.624,
2008-01,18.524,
2008-04,22.272,
2008-07,23.360,
2008-10,20.130,
2009-01,20.281,
2009-04,20.002,
2009-07,16.985,
2009-10,15.906,
2010-01,18.981,
2010-04,14.110,
2010-07,21.024,
2010-10,19.593,
2011-01,21.022,
2011-04,24.238,
2011-07,27.631,
2011-10,23.721,
2012-01,26.400,
2012-04,26.687,
2012-07,26.404,
2012-10,23.748,
2013-01,29.860,
2013-04,29.838,
2013-07,21.155,
2013-10,19.202,
2014-01,19.761,
2014-04,20.608,
2014-07,20.051,
