"",BBK01.OEAE30M,BBK01.OEAE30M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:30,
2002-01,1.518,
2002-04,1.473,
2002-07,1.476,
2002-10,1.499,
2003-01,1.591,
2003-04,1.635,
2003-07,1.666,
2003-10,1.730,
2004-01,1.733,
2004-04,1.759,
2004-07,1.818,
2004-10,2.007,
2005-01,2.014,
2005-04,2.012,
2005-07,1.893,
2005-10,1.931,
2006-01,2.354,
2006-04,2.286,
2006-07,2.149,
2006-10,2.094,
2007-01,2.261,
2007-04,2.247,
2007-07,2.540,
2007-10,2.564,
2008-01,2.645,
2008-04,2.680,
2008-07,2.704,
2008-10,2.962,
2009-01,2.929,
2009-04,2.591,
2009-07,2.474,
2009-10,2.472,
2010-01,2.611,
2010-04,2.601,
2010-07,2.469,
2010-10,2.463,
2011-01,2.506,
2011-04,2.581,
2011-07,2.622,
2011-10,2.630,
2012-01,2.516,
2012-04,2.333,
2012-07,2.448,
2012-10,2.381,
2013-01,2.412,
2013-04,2.382,
2013-07,2.430,
2013-10,2.314,
2014-01,2.335,
2014-04,2.405,
2014-07,2.265,
