"",BBK01.OEAA25M,BBK01.OEAA25M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:48,
2002-01,41.875,
2002-04,41.976,
2002-07,41.620,
2002-10,41.522,
2003-01,41.628,
2003-04,41.744,
2003-07,41.732,
2003-10,41.094,
2004-01,40.789,
2004-04,40.783,
2004-07,40.099,
2004-10,39.782,
2005-01,39.303,
2005-04,40.884,
2005-07,40.772,
2005-10,40.525,
2006-01,40.077,
2006-04,39.820,
2006-07,39.355,
2006-10,38.897,
2007-01,39.242,
2007-04,39.037,
2007-07,39.040,
2007-10,38.976,
2008-01,38.631,
2008-04,38.738,
2008-07,38.977,
2008-10,38.955,
2009-01,38.867,
2009-04,39.533,
2009-07,39.533,
2009-10,39.634,
2010-01,39.642,
2010-04,40.195,
2010-07,40.565,
2010-10,40.549,
2011-01,40.261,
2011-04,40.490,
2011-07,40.450,
2011-10,41.258,
2012-01,41.294,
2012-04,43.182,
2012-07,43.312,
2012-10,43.483,
2013-01,43.245,
2013-04,43.662,
2013-07,43.628,
2013-10,43.690,
2014-01,43.703,
2014-04,43.722,
2014-07,43.899,
