"",BBFB1.M.N.DE.W1.S1.S1.T.D.SB._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SB._Z._Z._Z._T._X.N_FLAGS
"",Current account / Maintenance and repair service / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:41,
1991-01,12.667,
1991-02,10.019,
1991-03,11.416,
1991-04,14.827,
1991-05,11.115,
1991-06,11.553,
1991-07,17.452,
1991-08,12.037,
1991-09,9.395,
1991-10,14.191,
1991-11,10.368,
1991-12,7.830,
1992-01,25.655,
1992-02,13.407,
1992-03,13.733,
1992-04,15.838,
1992-05,11.370,
1992-06,9.886,
1992-07,20.609,
1992-08,5.717,
1992-09,11.220,
1992-10,13.024,
1992-11,7.043,
1992-12,15.213,
1993-01,15.260,
1993-02,19.278,
1993-03,27.166,
1993-04,20.881,
1993-05,17.411,
1993-06,20.753,
1993-07,24.370,
1993-08,26.467,
1993-09,17.716,
1993-10,18.339,
1993-11,20.081,
1993-12,22.741,
1994-01,17.390,
1994-02,22.864,
1994-03,18.560,
1994-04,26.512,
1994-05,21.628,
1994-06,16.261,
1994-07,19.601,
1994-08,25.757,
1994-09,21.918,
1994-10,15.478,
1994-11,16.885,
1994-12,16.483,
1995-01,20.303,
1995-02,13.400,
1995-03,22.119,
1995-04,19.864,
1995-05,24.446,
1995-06,19.395,
1995-07,22.879,
1995-08,18.257,
1995-09,31.723,
1995-10,24.472,
1995-11,19.526,
1995-12,16.238,
1996-01,28.257,
1996-02,33.990,
1996-03,30.539,
1996-04,27.975,
1996-05,35.530,
1996-06,28.727,
1996-07,31.062,
1996-08,47.744,
1996-09,27.470,
1996-10,32.458,
1996-11,42.464,
1996-12,27.003,
1997-01,54.205,
1997-02,61.972,
1997-03,57.763,
1997-04,58.512,
1997-05,44.531,
1997-06,52.357,
1997-07,72.623,
1997-08,73.304,
1997-09,74.762,
1997-10,81.161,
1997-11,85.310,
1997-12,77.166,
1998-01,80.255,
1998-02,77.958,
1998-03,103.519,
1998-04,67.445,
1998-05,82.533,
1998-06,85.781,
1998-07,89.032,
1998-08,90.580,
1998-09,105.198,
1998-10,88.389,
1998-11,84.736,
1998-12,83.432,
1999-01,90.695,
1999-02,115.231,
1999-03,117.698,
1999-04,84.711,
1999-05,84.684,
1999-06,90.953,
1999-07,89.815,
1999-08,92.701,
1999-09,99.294,
1999-10,94.246,
1999-11,107.476,
1999-12,103.967,
2000-01,102.867,
2000-02,109.799,
2000-03,118.759,
2000-04,84.354,
2000-05,93.619,
2000-06,109.713,
2000-07,102.984,
2000-08,106.109,
2000-09,124.460,
2000-10,110.212,
2000-11,109.594,
2000-12,107.619,
2001-01,88.688,
2001-02,100.134,
2001-03,107.639,
2001-04,71.533,
2001-05,91.712,
2001-06,92.981,
2001-07,91.244,
2001-08,86.761,
2001-09,106.273,
2001-10,88.806,
2001-11,90.684,
2001-12,91.541,
2002-01,150.429,
2002-02,130.839,
2002-03,170.179,
2002-04,131.645,
2002-05,115.945,
2002-06,68.480,
2002-07,166.662,
2002-08,152.696,
2002-09,162.275,
2002-10,154.621,
2002-11,146.721,
2002-12,189.267,
2003-01,169.189,
2003-02,149.638,
2003-03,182.617,
2003-04,150.075,
2003-05,161.128,
2003-06,170.519,
2003-07,224.491,
2003-08,145.901,
2003-09,170.354,
2003-10,158.528,
2003-11,162.609,
2003-12,258.389,
2004-01,165.788,
2004-02,152.776,
2004-03,231.891,
2004-04,135.003,
2004-05,136.009,
2004-06,200.118,
2004-07,175.432,
2004-08,148.246,
2004-09,185.862,
2004-10,145.894,
2004-11,171.614,
2004-12,286.673,
2005-01,159.479,
2005-02,155.737,
2005-03,183.923,
2005-04,166.794,
2005-05,170.248,
2005-06,209.953,
2005-07,174.507,
2005-08,171.890,
2005-09,208.595,
2005-10,150.983,
2005-11,207.568,
2005-12,268.683,
2006-01,180.413,
2006-02,188.930,
2006-03,259.230,
2006-04,160.274,
2006-05,203.108,
2006-06,199.897,
2006-07,151.046,
2006-08,198.722,
2006-09,227.676,
2006-10,174.216,
2006-11,225.401,
2006-12,190.401,
2007-01,171.465,
2007-02,97.608,
2007-03,83.477,
2007-04,92.585,
2007-05,71.086,
2007-06,73.999,
2007-07,65.385,
2007-08,62.613,
2007-09,82.139,
2007-10,46.872,
2007-11,50.178,
2007-12,54.009,
2008-01,38.387,
2008-02,44.592,
2008-03,37.407,
2008-04,41.525,
2008-05,34.682,
2008-06,43.153,
2008-07,45.626,
2008-08,41.183,
2008-09,65.809,
2008-10,57.689,
2008-11,58.399,
2008-12,61.486,
2009-01,100.688,
2009-02,100.622,
2009-03,98.886,
2009-04,72.355,
2009-05,51.363,
2009-06,75.986,
2009-07,76.311,
2009-08,59.906,
2009-09,65.057,
2009-10,68.126,
2009-11,69.807,
2009-12,74.466,
2010-01,75.579,
2010-02,68.867,
2010-03,69.838,
2010-04,80.424,
2010-05,60.066,
2010-06,74.958,
2010-07,65.976,
2010-08,72.163,
2010-09,66.797,
2010-10,73.246,
2010-11,67.109,
2010-12,79.662,
2011-01,68.994,
2011-02,69.618,
2011-03,55.756,
2011-04,50.037,
2011-05,48.162,
2011-06,59.854,
2011-07,60.749,
2011-08,63.146,
2011-09,63.979,
2011-10,72.602,
2011-11,87.648,
2011-12,84.897,
2012-01,66.825,
2012-02,63.541,
2012-03,71.304,
2012-04,64.654,
2012-05,70.828,
2012-06,68.463,
2012-07,68.816,
2012-08,58.344,
2012-09,41.917,
2012-10,56.245,
2012-11,64.419,
2012-12,74.074,
2013-01,681.036,
2013-02,696.930,
2013-03,716.410,
2013-04,745.756,
2013-05,650.986,
2013-06,739.140,
2013-07,723.536,
2013-08,663.304,
2013-09,736.287,
2013-10,543.172,
2013-11,705.816,
2013-12,769.518,
2014-01,563.971,
2014-02,463.969,Provisional value
2014-03,456.690,Provisional value
2014-04,494.330,Provisional value
2014-05,501.230,Provisional value
2014-06,523.633,Provisional value
2014-07,538.896,Provisional value
2014-08,521.289,Provisional value
2014-09,550.309,
2014-10,533.645,
2014-11,589.705,
2014-12,594.349,Provisional value
