"",BBK01.OEYJ01V,BBK01.OEYJ01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:33,
2002-01,4.164,
2002-04,4.349,
2002-07,4.102,
2002-10,4.159,
2003-01,4.221,
2003-04,4.460,
2003-07,4.357,
2003-10,4.481,
2004-01,4.523,
2004-04,5.158,
2004-07,5.225,
2004-10,5.467,
2005-01,5.264,
2005-04,5.224,
2005-07,5.955,
2005-10,6.073,
2006-01,5.951,
2006-04,6.193,
2006-07,6.120,
2006-10,6.107,
2007-01,6.361,
2007-04,6.152,
2007-07,6.080,
2007-10,5.974,
2008-01,6.150,
2008-04,1.188,
2008-07,1.252,
2008-10,1.307,
2009-01,1.382,
2009-04,1.421,
2009-07,1.525,
2009-10,1.710,
2010-01,2.079,
2010-04,1.923,
2010-07,1.833,
2010-10,2.104,
2011-01,1.961,
2011-04,1.853,
2011-07,2.222,
2011-10,2.324,
2012-01,2.261,
2012-04,2.305,
2012-07,2.333,
2012-10,2.180,
2013-01,2.273,
2013-04,2.322,
2013-07,2.850,
2013-10,2.569,
2014-01,2.725,
2014-04,2.584,
2014-07,2.687,
