"",BBDE1.M.DE.Y.BAA1.N2F000000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.N2F000000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / Section F - Construction / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:31,
2010-01,92.4,
2010-02,91.4,
2010-03,99.9,
2010-04,103.0,
2010-05,103.7,
2010-06,102.9,
2010-07,101.1,
2010-08,101.7,
2010-09,102.2,
2010-10,101.9,
2010-11,101.2,
2010-12,89.5,
2011-01,104.6,
2011-02,106.0,
2011-03,107.1,
2011-04,107.3,
2011-05,108.1,
2011-06,105.5,
2011-07,107.5,
2011-08,106.3,
2011-09,105.9,
2011-10,108.6,
2011-11,110.3,
2011-12,106.7,
2012-01,108.3,
2012-02,97.9,
2012-03,112.5,
2012-04,106.2,
2012-05,107.0,
2012-06,106.3,
2012-07,107.7,
2012-08,105.5,
2012-09,106.8,
2012-10,105.6,
2012-11,104.8,
2012-12,102.1,
2013-01,103.9,
2013-02,102.4,
2013-03,98.7,
2013-04,106.0,
2013-05,105.3,
2013-06,106.5,
2013-07,108.6,
2013-08,108.0,
2013-09,106.9,
2013-10,105.9,
2013-11,106.8,
2013-12,108.9,
2014-01,112.6,
2014-02,114.5,
2014-03,110.7,
2014-04,109.7,
2014-05,106.0,
2014-06,107.5,
2014-07,107.9,
2014-08,106.8,
2014-09,105.7,
2014-10,106.7,Provisional value
2014-11,106.7,Provisional value
2014-12,103.6,Provisional value
