"",BBFB1.Q.N.DE.O1.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:36,
1991-01,69.680,
1991-04,-2.056,
1991-07,20.493,
1991-10,-20.406,
1992-01,-6.629,
1992-04,-9.622,
1992-07,-4.338,
1992-10,19.292,
1993-01,-76.739,
1993-04,-17.081,
1993-07,-11.517,
1993-10,19.272,
1994-01,25.944,
1994-04,3.883,
1994-07,17.091,
1994-10,18.131,
1995-01,-11.304,
1995-04,5.179,
1995-07,37.484,
1995-10,5.092,
1996-01,-3.895,
1996-04,-13.710,
1996-07,-15.776,
1996-10,3.943,
1997-01,-24.172,
1997-04,47.029,
1997-07,-20.303,
1997-10,-35.461,
1998-01,-3.984,
1998-04,7.237,
1998-07,-5.663,
1998-10,56.950,
1999-01,9.690,
1999-04,70.041,
1999-07,23.457,
1999-10,73.408,
2000-01,11.256,
2000-04,82.645,
2000-07,36.269,
2000-10,72.658,
2001-01,141.688,
2001-04,134.254,
2001-07,197.151,
2001-10,63.321,
2002-01,129.609,
2002-04,162.284,
2002-07,-21.715,
2002-10,-71.349,
2003-01,111.072,
2003-04,67.745,
2003-07,31.116,
2003-10,92.705,
2004-01,11.266,
2004-04,81.955,
2004-07,108.142,
2004-10,110.526,
2005-01,423.899,
2005-04,1226.993,
2005-07,456.378,
2005-10,271.201,
2006-01,264.636,
2006-04,245.234,
2006-07,424.170,
2006-10,304.062,
2007-01,325.777,
2007-04,363.617,
2007-07,679.269,
2007-10,943.965,
2008-01,317.231,
2008-04,-233.830,
2008-07,886.933,
2008-10,149.749,
2009-01,71.097,
2009-04,616.946,
2009-07,174.010,
2009-10,-270.764,
2010-01,415.383,
2010-04,1297.993,
2010-07,-57.191,
2010-10,219.621,
2011-01,377.371,
2011-04,-92.470,
2011-07,356.490,
2011-10,-4.083,
2012-01,-213.098,
2012-04,194.765,
2012-07,393.912,
2012-10,-1279.258,
2013-01,187.767,
2013-04,-190.512,
2013-07,-36.209,
2013-10,55.225,
2014-01,-215.526,Provisional value
2014-04,-53.505,Provisional value
2014-07,83.926,Provisional value
2014-10,33.353,Provisional value
