"",BBK01.OEBJ05Q,BBK01.OEBJ05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:33,
2002-01,0.222,
2002-04,0.220,
2002-07,0.219,
2002-10,0.207,
2003-01,0.211,
2003-04,0.212,
2003-07,0.218,
2003-10,0.217,
2004-01,0.191,
2004-04,0.190,
2004-07,0.184,
2004-10,0.181,
2005-01,0.154,
2005-04,0.152,
2005-07,0.157,
2005-10,0.220,
2006-01,0.119,
2006-04,0.112,
2006-07,0.109,
2006-10,0.108,
2007-01,0.100,
2007-04,0.097,
2007-07,0.098,
2007-10,0.097,
2008-01,0.091,
2008-04,0.108,
2008-07,0.087,
2008-10,0.087,
2009-01,0.302,
2009-04,0.376,
2009-07,0.406,
2009-10,0.406,
2010-01,0.403,
2010-04,0.402,
2010-07,0.382,
2010-10,0.362,
2011-01,0.284,
2011-04,0.279,
2011-07,0.277,
2011-10,0.268,
2012-01,0.271,
2012-04,0.271,
2012-07,0.289,
2012-10,0.280,
2013-01,0.280,
2013-04,0.256,
2013-07,0.232,
2013-10,0.173,
2014-01,0.172,
2014-04,0.206,
2014-07,0.168,
