"",BBFB1.Q.N.DE.CH.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:42,
1991-01,392.598,
1991-04,466.861,
1991-07,440.709,
1991-10,405.863,
1992-01,451.034,
1992-04,384.955,
1992-07,461.237,
1992-10,465.622,
1993-01,511.859,
1993-04,564.377,
1993-07,570.315,
1993-10,605.370,
1994-01,649.338,
1994-04,639.493,
1994-07,622.714,
1994-10,645.171,
1995-01,787.283,
1995-04,822.457,
1995-07,753.523,
1995-10,781.048,
1996-01,1008.856,
1996-04,1084.385,
1996-07,1073.700,
1996-10,1096.079,
1997-01,865.733,
1997-04,868.613,
1997-07,891.454,
1997-10,847.833,
1998-01,716.564,
1998-04,825.434,
1998-07,758.657,
1998-10,886.052,
1999-01,602.781,
1999-04,769.709,
1999-07,663.591,
1999-10,839.262,
2000-01,375.386,
2000-04,607.392,
2000-07,423.271,
2000-10,414.975,
2001-01,836.831,
2001-04,1010.671,
2001-07,964.837,
2001-10,858.765,
2002-01,480.436,
2002-04,558.181,
2002-07,503.879,
2002-10,563.989,
2003-01,2419.653,
2003-04,2638.637,
2003-07,2348.962,
2003-10,2206.248,
2004-01,2129.445,
2004-04,1998.673,
2004-07,1726.798,
2004-10,1691.978,
2005-01,1565.337,
2005-04,1720.062,
2005-07,1532.869,
2005-10,1476.432,
2006-01,1095.565,
2006-04,1196.997,
2006-07,973.165,
2006-10,995.749,
2007-01,1510.190,
2007-04,1883.619,
2007-07,1641.209,
2007-10,1637.963,
2008-01,1874.851,
2008-04,2069.072,
2008-07,1774.059,
2008-10,1731.931,
2009-01,1116.851,
2009-04,1243.831,
2009-07,1037.441,
2009-10,1039.641,
2010-01,1136.516,
2010-04,1474.968,
2010-07,1350.157,
2010-10,1485.434,
2011-01,1918.462,
2011-04,2473.207,
2011-07,2074.230,
2011-10,2121.610,
2012-01,1064.952,
2012-04,1393.888,
2012-07,941.683,
2012-10,961.858,
2013-01,1415.366,
2013-04,1773.227,
2013-07,1314.464,
2013-10,1356.295,
2014-01,1132.905,Provisional value
2014-04,1422.384,Provisional value
2014-07,1187.800,Provisional value
