"",BBK01.OEXJ07H,BBK01.OEXJ07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:59,
2002-01,0.012,
2002-04,0.011,
2002-07,0.012,
2002-10,0.012,
2003-01,0.013,
2003-04,0.013,
2003-07,0.013,
2003-10,0.016,
2004-01,0.015,
2004-04,0.013,
2004-07,0.014,
2004-10,0.014,
2005-01,0.017,
2005-04,0.016,
2005-07,0.019,
2005-10,0.021,
2006-01,0.021,
2006-04,0.022,
2006-07,0.019,
2006-10,0.019,
2007-01,0.019,
2007-04,0.019,
2007-07,0.020,
2007-10,0.021,
2008-01,0.030,
2008-04,0.025,
2008-07,0.027,
2008-10,0.034,
2009-01,0.032,
2009-04,0.030,
2009-07,0.028,
2009-10,0.058,
2010-01,0.061,
2010-04,0.065,
2010-07,0.074,
2010-10,0.067,
2011-01,0.082,
2011-04,0.084,
2011-07,0.094,
2011-10,0.051,
2012-01,0.065,
2012-04,0.073,
2012-07,0.079,
2012-10,0.109,
2013-01,0.116,
2013-04,0.116,
2013-07,0.116,
2013-10,0.116,
2014-01,0.117,
2014-04,0.118,
2014-07,0.117,
