"",BBFB1.Q.N.DE.W03100.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:36,
1991-01,591.359,
1991-04,-1053.637,
1991-07,283.462,
1991-10,-420.499,
1992-01,555.836,
1992-04,877.611,
1992-07,679.615,
1992-10,210.770,
1993-01,-598.311,
1993-04,1376.377,
1993-07,-411.770,
1993-10,-1337.063,
1994-01,3526.840,
1994-04,612.277,
1994-07,-83.482,
1994-10,675.922,
1995-01,1689.185,
1995-04,1894.883,
1995-07,3113.264,
1995-10,515.348,
1996-01,2423.116,
1996-04,1642.061,
1996-07,-99.136,
1996-10,464.365,
1997-01,3480.774,
1997-04,4264.453,
1997-07,-894.442,
1997-10,2640.680,
1998-01,4574.056,
1998-04,4154.937,
1998-07,-4252.158,
1998-10,8456.401,
1999-01,-932.012,
1999-04,15961.587,
1999-07,4883.298,
1999-10,8554.602,
2000-01,2292.564,
2000-04,6694.925,
2000-07,4565.900,
2000-10,-192.321,
2001-01,11133.123,
2001-04,2132.465,
2001-07,-2264.418,
2001-10,3519.110,
2002-01,12632.619,
2002-04,2219.466,
2002-07,-2258.744,
2002-10,-8128.001,
2003-01,2720.154,
2003-04,-31.929,
2003-07,-12292.982,
2003-10,2654.608,
2004-01,2891.353,
2004-04,-7739.154,
2004-07,-1818.015,
2004-10,9551.368,
2005-01,3913.410,
2005-04,11753.558,
2005-07,5768.163,
2005-10,-4735.491,
2006-01,10195.203,
2006-04,2676.329,
2006-07,7805.072,
2006-10,9461.557,
2007-01,5564.011,
2007-04,4828.122,
2007-07,7351.345,
2007-10,3798.257,
2008-01,8782.034,
2008-04,4084.896,
2008-07,16361.492,
2008-10,-33371.980,
2009-01,6868.717,
2009-04,-16562.176,
2009-07,4315.638,
2009-10,-3012.710,
2010-01,581.889,
2010-04,9716.053,
2010-07,-1568.132,
2010-10,1518.648,
2011-01,-14168.139,
2011-04,-6206.849,
2011-07,15850.326,
2011-10,4503.081,
2012-01,15600.451,
2012-04,18273.239,
2012-07,9681.931,
2012-10,-26919.064,
2013-01,3162.520,
2013-04,-12547.207,
2013-07,-8508.363,
2013-10,-6696.293,
2014-01,3977.546,Provisional value
2014-04,5366.836,Provisional value
2014-07,9182.861,Provisional value
2014-10,21466.849,Provisional value
