"",BBK01.OEAE35G,BBK01.OEAE35G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:01,
2002-01,0.723,
2002-04,0.723,
2002-07,0.735,
2002-10,0.735,
2003-01,0.702,
2003-04,0.670,
2003-07,0.876,
2003-10,0.926,
2004-01,0.894,
2004-04,0.898,
2004-07,0.955,
2004-10,0.939,
2005-01,0.921,
2005-04,0.904,
2005-07,0.905,
2005-10,0.906,
2006-01,0.902,
2006-04,0.875,
2006-07,0.887,
2006-10,0.689,
2007-01,0.668,
2007-04,0.606,
2007-07,2.016,
2007-10,2.076,
2008-01,2.044,
2008-04,2.097,
2008-07,2.226,
2008-10,2.295,
2009-01,2.155,
2009-04,2.140,
2009-07,2.146,
2009-10,2.088,
2010-01,0.658,
2010-04,0.660,
2010-07,0.709,
2010-10,0.732,
2011-01,0.782,
2011-04,0.765,
2011-07,0.725,
2011-10,0.733,
2012-01,0.724,
2012-04,0.705,
2012-07,0.723,
2012-10,0.712,
2013-01,0.695,
2013-04,0.690,
2013-07,0.663,
2013-10,0.667,
2014-01,0.651,
2014-04,0.655,
2014-07,0.652,
