"",BBK01.OEAH24V,BBK01.OEAH24V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:54,
2002-01,3.457,
2002-04,3.594,
2002-07,3.601,
2002-10,3.590,
2003-01,3.580,
2003-04,3.487,
2003-07,3.416,
2003-10,3.417,
2004-01,3.498,
2004-04,3.486,
2004-07,3.438,
2004-10,3.286,
2005-01,3.163,
2005-04,3.005,
2005-07,2.860,
2005-10,2.768,
2006-01,2.672,
2006-04,2.572,
2006-07,2.532,
2006-10,2.395,
2007-01,2.253,
2007-04,2.196,
2007-07,2.211,
2007-10,2.170,
2008-01,2.133,
2008-04,2.091,
2008-07,2.097,
2008-10,2.108,
2009-01,1.971,
2009-04,1.989,
2009-07,2.005,
2009-10,2.126,
2010-01,2.249,
2010-04,2.337,
2010-07,2.367,
2010-10,2.367,
2011-01,2.405,
2011-04,2.586,
2011-07,2.559,
2011-10,2.523,
2012-01,2.491,
2012-04,2.485,
2012-07,2.426,
2012-10,2.277,
2013-01,2.177,
2013-04,2.104,
2013-07,2.074,
2013-10,2.061,
2014-01,2.102,
2014-04,2.069,
2014-07,2.157,
