"",BBK01.OELO02N,BBK01.OELO02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:25,
2002-01,5.254,
2002-04,3.489,
2002-07,3.435,
2002-10,3.695,
2003-01,4.354,
2003-04,3.494,
2003-07,3.177,
2003-10,3.730,
2004-01,4.391,
2004-04,3.383,
2004-07,3.301,
2004-10,3.705,
2005-01,4.029,
2005-04,3.220,
2005-07,3.075,
2005-10,3.397,
2006-01,4.867,
2006-04,3.785,
2006-07,3.576,
2006-10,3.685,
2007-01,4.435,
2007-04,3.609,
2007-07,3.754,
2007-10,3.727,
2008-01,3.832,
2008-04,3.210,
2008-07,3.091,
2008-10,4.116,
2009-01,4.848,
2009-04,4.557,
2009-07,4.829,
2009-10,4.864,
2010-01,4.873,
2010-04,3.417,
2010-07,2.976,
2010-10,3.363,
2011-01,3.721,
2011-04,3.275,
2011-07,3.362,
2011-10,3.297,
2012-01,3.424,
2012-04,3.342,
2012-07,3.551,
2012-10,3.733,
2013-01,3.844,
2013-04,3.360,
2013-07,3.071,
2013-10,3.305,
2014-01,3.366,
2014-04,3.026,
2014-07,2.806,
