"",BBEX3.M.EGP.EUR.CA.AC.A01,BBEX3.M.EGP.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Egypt / EUR 1 = EGP ... (middle),
unit,EGP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:11,
1999-01,3.91905,comment
1999-02,3.80150,
1999-03,3.70420,
1999-04,3.66880,
1999-05,3.61490,
1999-06,3.57570,
1999-07,3.68315,
1999-08,3.61940,
1999-09,3.67480,
1999-10,3.69580,
1999-11,3.48790,
1999-12,3.48640,
2000-01,3.40225,
2000-02,3.36550,
2000-03,3.31870,
2000-04,3.20550,
2000-05,3.24575,
2000-06,3.31885,
2000-07,3.26665,
2000-08,3.17075,
2000-09,3.18635,
2000-10,3.14955,
2000-11,3.33790,
2000-12,3.60675,
2001-01,3.56040,
2001-02,3.54265,
2001-03,3.43435,
2001-04,3.44480,
2001-05,3.29650,
2001-06,3.33415,
2001-07,3.45010,
2001-08,3.88085,
2001-09,3.86920,
2001-10,3.85815,
2001-11,3.77680,
2001-12,4.01305,
2002-01,3.95435,
2002-02,3.98080,
2002-03,4.02310,
2002-04,4.15990,
2002-05,4.31345,
2002-06,4.56065,
2002-07,4.52800,
2002-08,4.52270,
2002-09,4.52475,
2002-10,4.54620,
2002-11,4.57375,
2002-12,4.86765,
2003-01,5.81170,comment
2003-02,6.04600,
2003-03,6.23080,
2003-04,6.54790,
2003-05,7.01460,
2003-06,6.89635,
2003-07,6.94465,
2003-08,6.77595,
2003-09,7.14030,
2003-10,7.15995,
2003-11,7.37295,
2003-12,7.73680,
2004-01,7.71820,
2004-02,7.74925,
2004-03,7.63020,
2004-04,7.33880,
2004-05,7.58905,
2004-06,7.50865,
2004-07,7.49580,
2004-08,7.49725,
2004-09,7.70015,
2004-10,8.00470,
2004-11,8.25810,
2004-12,8.32045,
2005-01,7.62405,
2005-02,7.71560,
2005-03,7.51615,
2005-04,7.50510,
2005-05,7.20435,
2005-06,7.02305,
2005-07,7.05600,
2005-08,7.07180,
2005-09,6.97705,
2005-10,6.97600,
2005-11,6.81585,
2005-12,6.82740,
2006-01,6.94705,
2006-02,6.81480,
2006-03,6.93760,
2006-04,7.27675,
2006-05,7.43245,
2006-06,7.23975,
2006-07,7.34325,
2006-08,7.38985,
2006-09,7.31495,
2006-10,7.30355,
2006-11,7.55550,
2006-12,7.52485,
2007-01,7.39915,
2007-02,7.52095,
2007-03,7.60395,
2007-04,7.75710,
2007-05,7.66825,
2007-06,7.68480,
2007-07,7.74955,
2007-08,7.73205,
2007-09,7.98740,
2007-10,7.98635,
2007-11,8.20850,
2007-12,8.12710,
2008-01,8.25995,
2008-02,8.30620,
2008-03,8.62445,
2008-04,8.39685,
2008-05,8.34705,
2008-06,8.43575,
2008-07,8.28195,
2008-08,7.89825,
2008-09,7.86215,
2008-10,7.19555,
2008-11,7.01685,
2008-12,7.77815,
2009-01,7.17655,
2009-02,7.12035,
2009-03,7.52110,
2009-04,7.49335,
2009-05,7.97520,
2009-06,7.92125,
2009-07,7.84225,
2009-08,7.91465,
2009-09,8.06335,
2009-10,8.08460,
2009-11,8.22150,
2009-12,7.94245,
2010-01,7.63885,
2010-02,7.49730,
2010-03,7.40050,
2010-04,7.40480,
2010-05,6.97460,
2010-06,6.97985,
2010-07,7.48615,
2010-08,7.23655,
2010-09,7.77080,
2010-10,8.11560,
2010-11,7.57630,
2010-12,7.76475,
2011-01,8.04090,
2011-02,8.16670,
2011-03,8.47385,
2011-04,8.82050,
2011-05,8.57445,
2011-06,8.68115,
2011-07,8.59900,
2011-08,8.60750,
2011-09,8.11715,
2011-10,8.41305,
2011-11,8.02785,
2011-12,7.85770,
2012-01,8.00110,
2012-02,8.16290,
2012-03,8.11850,
2012-04,8.07315,
2012-05,7.52005,
2012-06,7.69030,
2012-07,7.50010,
2012-08,7.68445,
2012-09,7.88495,
2012-10,8.00255,
2012-11,8.01650,
2012-12,8.46985,
2013-01,9.18295,
2013-02,8.91435,
2013-03,8.79275,
2013-04,9.25785,
2013-05,9.30840,
2013-06,9.34135,
2013-07,9.40780,
2013-08,9.38685,
2013-09,9.38870,
2013-10,9.47165,
2013-11,9.45995,
2013-12,9.59995,
2014-01,9.49975,
2014-02,9.53535,
2014-03,9.61520,
2014-04,9.70800,
2014-05,9.74700,
2014-06,9.78135,
2014-07,9.59145,
2014-08,9.45495,
2014-09,9.05450,
2014-10,9.02335,
2014-11,8.95235,
2014-12,8.71085,
2015-01,8.58285,
"","Source: Calculated on the basis of the buying and selling rates of the National Bank of Egypt, Cairo.",
"",Comment on 1999-01: Euro exchange rates are available from 28 February 1999 onwards; the comparative rate was calculated using D-Mark exchange rates in conjunction with the euro exchange rate of EUR 1 = DEM 1.95583.,
"",Comment on 2003-01: Exchange rate floated as from 29 January 2003.,
