"",BBK01.OEAB03V,BBK01.OEAB03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:00,
2002-01,5.606,
2002-04,5.581,
2002-07,5.691,
2002-10,6.091,
2003-01,5.840,
2003-04,4.623,
2003-07,4.564,
2003-10,4.591,
2004-01,4.522,
2004-04,4.564,
2004-07,4.733,
2004-10,4.690,
2005-01,4.935,
2005-04,4.846,
2005-07,4.384,
2005-10,4.339,
2006-01,4.144,
2006-04,4.248,
2006-07,4.390,
2006-10,4.709,
2007-01,4.651,
2007-04,4.628,
2007-07,4.709,
2007-10,4.503,
2008-01,4.383,
2008-04,3.481,
2008-07,3.542,
2008-10,3.626,
2009-01,3.472,
2009-04,3.849,
2009-07,3.866,
2009-10,4.091,
2010-01,3.777,
2010-04,3.802,
2010-07,3.682,
2010-10,3.633,
2011-01,3.585,
2011-04,3.708,
2011-07,4.318,
2011-10,4.177,
2012-01,4.150,
2012-04,4.142,
2012-07,4.309,
2012-10,3.956,
2013-01,3.912,
2013-04,3.926,
2013-07,3.869,
2013-10,3.977,
2014-01,3.969,
2014-04,3.723,
2014-07,3.673,
