"",BBDA1.M.DE.Y.EX.S.GP09I028.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09I028.W1.A.V.ABA.A_FLAGS
"","German foreign trade: exports / At current prices, flows / 28 Machinery and equipment / Rest of the World / Calendar and seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:28,
2008-01,14.09,
2008-02,13.46,
2008-03,13.38,
2008-04,13.12,
2008-05,13.18,
2008-06,13.56,
2008-07,13.27,
2008-08,13.57,
2008-09,13.51,
2008-10,13.89,
2008-11,12.95,
2008-12,12.08,
2009-01,11.67,
2009-02,10.99,
2009-03,10.32,
2009-04,10.37,
2009-05,9.77,
2009-06,9.68,
2009-07,10.40,
2009-08,10.00,
2009-09,10.01,
2009-10,10.24,
2009-11,10.28,
2009-12,10.65,
2010-01,9.88,
2010-02,10.32,
2010-03,11.04,
2010-04,11.02,
2010-05,11.49,
2010-06,11.75,
2010-07,12.12,
2010-08,12.12,
2010-09,12.50,
2010-10,12.76,
2010-11,12.71,
2010-12,12.71,
2011-01,12.62,
2011-02,12.90,
2011-03,13.35,
2011-04,13.43,
2011-05,13.53,
2011-06,13.38,
2011-07,13.75,
2011-08,13.81,
2011-09,14.03,
2011-10,13.94,
2011-11,14.12,
2011-12,13.17,
2012-01,13.55,
2012-02,14.23,
2012-03,13.82,
2012-04,13.85,
2012-05,14.10,
2012-06,14.19,
2012-07,13.99,
2012-08,14.06,
2012-09,13.73,
2012-10,13.47,
2012-11,13.57,
2012-12,13.63,
2013-01,13.59,
2013-02,13.66,
2013-03,13.68,
2013-04,13.84,
2013-05,14.06,
2013-06,13.74,
2013-07,13.54,
2013-08,13.66,
2013-09,13.84,
2013-10,13.52,
2013-11,13.92,
2013-12,13.95,
2014-01,13.86,
2014-02,14.07,
2014-03,13.71,
2014-04,14.00,
2014-05,13.90,
2014-06,14.20,
2014-07,14.08,
2014-08,14.11,
2014-09,14.19,
2014-10,14.48,
2014-11,14.29,
2014-12,14.17,
