"",BBK01.OEAA31P,BBK01.OEAA31P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:59,
2002-01,2.677,
2002-04,2.698,
2002-07,2.699,
2002-10,2.726,
2003-01,2.681,
2003-04,2.702,
2003-07,2.751,
2003-10,2.786,
2004-01,2.786,
2004-04,2.790,
2004-07,2.790,
2004-10,2.806,
2005-01,2.779,
2005-04,2.808,
2005-07,2.803,
2005-10,2.773,
2006-01,2.782,
2006-04,2.779,
2006-07,2.778,
2006-10,2.818,
2007-01,2.814,
2007-04,2.820,
2007-07,2.829,
2007-10,2.892,
2008-01,2.892,
2008-04,2.905,
2008-07,2.926,
2008-10,2.914,
2009-01,2.884,
2009-04,2.933,
2009-07,2.978,
2009-10,2.990,
2010-01,2.996,
2010-04,3.022,
2010-07,2.987,
2010-10,2.976,
2011-01,2.927,
2011-04,2.924,
2011-07,2.901,
2011-10,2.884,
2012-01,2.865,
2012-04,3.174,
2012-07,3.194,
2012-10,3.198,
2013-01,3.153,
2013-04,3.150,
2013-07,3.029,
2013-10,3.082,
2014-01,3.060,
2014-04,3.032,
2014-07,3.057,
