"",BBDE1.Q.DE.Y.LCC1.P2XG00100.A.L.I08.A,BBDE1.Q.DE.Y.LCC1.P2XG00100.A.L.I08.A_FLAGS
"",Index of non-wage costs / Germany / Section G-S - Service activities / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:19,
1996-01,92.0,
1996-04,89.9,
1996-07,91.2,
1996-10,92.0,
1997-01,93.0,
1997-04,94.5,
1997-07,93.9,
1997-10,94.4,
1998-01,94.2,
1998-04,95.5,
1998-07,96.6,
1998-10,97.8,
1999-01,96.1,
1999-04,98.4,
1999-07,98.5,
1999-10,99.5,
2000-01,99.0,
2000-04,98.1,
2000-07,100.1,
2000-10,101.3,
2001-01,100.6,
2001-04,100.6,
2001-07,100.5,
2001-10,101.8,
2002-01,104.1,
2002-04,102.8,
2002-07,103.4,
2002-10,103.8,
2003-01,106.2,
2003-04,106.4,
2003-07,107.6,
2003-10,106.4,
2004-01,105.9,
2004-04,107.0,
2004-07,106.7,
2004-10,105.5,
2005-01,104.9,
2005-04,106.5,
2005-07,103.4,
2005-10,102.8,
2006-01,102.5,
2006-04,100.9,
2006-07,101.2,
2006-10,101.6,
2007-01,101.2,
2007-04,99.4,
2007-07,99.3,
2007-10,99.6,
2008-01,98.1,
2008-04,99.3,
2008-07,101.3,
2008-10,101.3,
2009-01,102.1,
2009-04,103.5,
2009-07,104.6,
2009-10,104.6,
2010-01,106.1,
2010-04,107.7,
2010-07,108.8,
2010-10,108.8,
2011-01,109.2,
2011-04,110.3,
2011-07,110.4,
2011-10,111.0,
2012-01,112.4,
2012-04,112.4,
2012-07,113.6,
2012-10,114.6,
2013-01,116.2,
2013-04,113.4,
2013-07,112.9,
2013-10,114.3,
2014-01,113.5,
2014-04,116.0,
2014-07,116.9,
