"",BBK01.OELB17G,BBK01.OELB17G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:18,
2002-01,41.408,
2002-04,41.637,
2002-07,42.112,
2002-10,42.443,
2003-01,41.896,
2003-04,42.112,
2003-07,42.564,
2003-10,43.149,
2004-01,42.968,
2004-04,43.355,
2004-07,43.928,
2004-10,43.802,
2005-01,43.526,
2005-04,43.970,
2005-07,44.468,
2005-10,45.160,
2006-01,45.216,
2006-04,45.721,
2006-07,46.335,
2006-10,46.681,
2007-01,46.602,
2007-04,46.865,
2007-07,47.314,
2007-10,47.896,
2008-01,47.768,
2008-04,48.085,
2008-07,48.537,
2008-10,48.643,
2009-01,48.490,
2009-04,48.852,
2009-07,49.441,
2009-10,49.979,
2010-01,49.901,
2010-04,50.438,
2010-07,51.115,
2010-10,51.607,
2011-01,51.831,
2011-04,52.510,
2011-07,53.115,
2011-10,53.676,
2012-01,53.857,
2012-04,54.871,
2012-07,55.738,
2012-10,56.449,
2013-01,56.698,
2013-04,57.407,
2013-07,58.450,
2013-10,59.140,
2014-01,59.400,
2014-04,59.974,
2014-07,60.736,
