"",BBK01.OELI02I,BBK01.OELI02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:33,
2002-01,3.294,
2002-04,3.347,
2002-07,3.365,
2002-10,3.636,
2003-01,3.511,
2003-04,3.848,
2003-07,3.946,
2003-10,4.370,
2004-01,4.595,
2004-04,4.761,
2004-07,5.024,
2004-10,5.309,
2005-01,5.501,
2005-04,5.575,
2005-07,6.014,
2005-10,6.708,
2006-01,6.760,
2006-04,6.776,
2006-07,6.833,
2006-10,6.702,
2007-01,6.173,
2007-04,6.258,
2007-07,6.094,
2007-10,6.113,
2008-01,5.841,
2008-04,5.865,
2008-07,5.810,
2008-10,5.887,
2009-01,6.697,
2009-04,6.621,
2009-07,7.036,
2009-10,7.712,
2010-01,7.765,
2010-04,7.771,
2010-07,7.808,
2010-10,7.665,
2011-01,7.782,
2011-04,7.824,
2011-07,7.937,
2011-10,7.745,
2012-01,7.811,
2012-04,7.826,
2012-07,8.477,
2012-10,8.901,
2013-01,9.030,
2013-04,9.380,
2013-07,9.582,
2013-10,10.028,
2014-01,9.556,
2014-04,9.604,
2014-07,10.032,
