"",BBK01.OEAC49Q,BBK01.OEAC49Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:53,
2002-01,1.861,
2002-04,1.867,
2002-07,1.771,
2002-10,1.767,
2003-01,1.731,
2003-04,1.999,
2003-07,1.992,
2003-10,1.939,
2004-01,1.878,
2004-04,1.653,
2004-07,1.622,
2004-10,1.605,
2005-01,1.577,
2005-04,1.541,
2005-07,1.532,
2005-10,1.510,
2006-01,1.516,
2006-04,1.538,
2006-07,1.506,
2006-10,1.503,
2007-01,1.578,
2007-04,1.470,
2007-07,1.344,
2007-10,1.354,
2008-01,1.298,
2008-04,1.303,
2008-07,1.309,
2008-10,1.316,
2009-01,1.533,
2009-04,1.504,
2009-07,1.514,
2009-10,1.530,
2010-01,1.595,
2010-04,1.595,
2010-07,1.569,
2010-10,1.586,
2011-01,1.481,
2011-04,1.420,
2011-07,1.394,
2011-10,1.470,
2012-01,1.440,
2012-04,1.456,
2012-07,1.446,
2012-10,1.450,
2013-01,1.444,
2013-04,1.449,
2013-07,1.449,
2013-10,1.444,
2014-01,1.447,
2014-04,1.462,
2014-07,1.476,
