"",BBDE1.M.DE.Y.AEP1.A2P320000.F.C.I10.A,BBDE1.M.DE.Y.AEP1.A2P320000.F.C.I10.A_FLAGS
"","Orders received excluding large orders, euro-area countries / At constant prices / Germany / Capital goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:09,
2010-01,89.0,
2010-02,91.0,
2010-03,95.7,
2010-04,99.4,
2010-05,99.1,
2010-06,95.2,
2010-07,99.8,
2010-08,103.6,
2010-09,103.1,
2010-10,101.7,
2010-11,109.0,
2010-12,111.3,
2011-01,111.6,
2011-02,113.9,
2011-03,112.5,
2011-04,117.8,
2011-05,109.7,
2011-06,100.2,
2011-07,108.9,
2011-08,112.8,
2011-09,107.3,
2011-10,109.2,
2011-11,103.9,
2011-12,107.5,
2012-01,99.5,
2012-02,98.3,
2012-03,97.6,
2012-04,92.6,
2012-05,95.3,
2012-06,89.5,
2012-07,94.8,
2012-08,92.5,
2012-09,91.7,
2012-10,92.7,
2012-11,88.6,
2012-12,93.5,
2013-01,92.6,
2013-02,90.2,
2013-03,89.6,
2013-04,91.4,
2013-05,92.3,
2013-06,97.7,
2013-07,94.0,
2013-08,92.6,
2013-09,93.8,
2013-10,92.4,
2013-11,94.7,
2013-12,93.7,
2014-01,97.1,
2014-02,96.6,
2014-03,96.5,
2014-04,97.2,
2014-05,91.1,
2014-06,90.6,
2014-07,98.2,
2014-08,91.2,
2014-09,102.0,
2014-10,104.3,
2014-11,104.3,
2014-12,104.3,Provisional value
