"",BBK01.OEYB02U,BBK01.OEYB02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:50,
2002-01,0.302,
2002-04,0.282,
2002-07,0.289,
2002-10,0.309,
2003-01,0.327,
2003-04,0.306,
2003-07,0.299,
2003-10,0.289,
2004-01,0.271,
2004-04,0.243,
2004-07,0.260,
2004-10,0.227,
2005-01,0.215,
2005-04,0.191,
2005-07,0.167,
2005-10,0.151,
2006-01,0.147,
2006-04,0.145,
2006-07,0.138,
2006-10,0.136,
2007-01,0.135,
2007-04,0.128,
2007-07,0.131,
2007-10,0.108,
2008-01,0.106,
2008-04,0.109,
2008-07,0.111,
2008-10,0.103,
2009-01,0.091,
2009-04,0.113,
2009-07,0.134,
2009-10,0.121,
2010-01,0.115,
2010-04,0.074,
2010-07,0.073,
2010-10,0.047,
2011-01,0.054,
2011-04,0.052,
2011-07,0.049,
2011-10,0.036,
2012-01,0.052,
2012-04,0.055,
2012-07,0.051,
2012-10,0.039,
2013-01,0.040,
2013-04,0.043,
2013-07,0.043,
2013-10,0.036,
2014-01,0.045,
2014-04,0.063,
2014-07,0.057,
