"",BBK01.OEAE06L,BBK01.OEAE06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:05,
2002-01,10.566,
2002-04,10.287,
2002-07,10.249,
2002-10,10.565,
2003-01,11.346,
2003-04,11.418,
2003-07,11.425,
2003-10,11.179,
2004-01,10.992,
2004-04,10.810,
2004-07,10.933,
2004-10,11.330,
2005-01,10.999,
2005-04,11.003,
2005-07,11.590,
2005-10,11.047,
2006-01,11.317,
2006-04,11.247,
2006-07,10.452,
2006-10,11.053,
2007-01,10.570,
2007-04,10.841,
2007-07,11.345,
2007-10,11.706,
2008-01,12.083,
2008-04,11.945,
2008-07,11.949,
2008-10,12.355,
2009-01,13.269,
2009-04,13.024,
2009-07,12.870,
2009-10,12.365,
2010-01,12.855,
2010-04,13.167,
2010-07,12.207,
2010-10,12.214,
2011-01,12.223,
2011-04,12.106,
2011-07,12.081,
2011-10,11.816,
2012-01,12.101,
2012-04,12.234,
2012-07,12.081,
2012-10,12.321,
2013-01,11.838,
2013-04,12.129,
2013-07,12.448,
2013-10,12.320,
2014-01,11.999,
2014-04,12.399,
2014-07,12.840,
