"",BBFB1.Q.N.DE.O1.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:37,
1991-01,-167.715,
1991-04,243.034,
1991-07,-371.412,
1991-10,-16.407,
1992-01,-37.402,
1992-04,-10.939,
1992-07,868.840,
1992-10,-371.891,
1993-01,-51.973,
1993-04,168.877,
1993-07,6.906,
1993-10,111.894,
1994-01,-268.357,
1994-04,-107.485,
1994-07,-61.851,
1994-10,-32.348,
1995-01,405.934,
1995-04,-196.172,
1995-07,-241.718,
1995-10,45.946,
1996-01,-215.203,
1996-04,-8.174,
1996-07,242.794,
1996-10,34.247,
1997-01,-183.150,
1997-04,11.213,
1997-07,-58.799,
1997-10,405.667,
1998-01,166.575,
1998-04,117.417,
1998-07,199.155,
1998-10,168.205,
1999-01,19.803,
1999-04,1210.871,
1999-07,143.850,
1999-10,2.065,
2000-01,-617.061,
2000-04,156.668,
2000-07,40.808,
2000-10,498.761,
2001-01,-784.521,
2001-04,-159.803,
2001-07,10.446,
2001-10,585.690,
2002-01,633.456,
2002-04,-726.824,
2002-07,2176.280,
2002-10,75.051,
2003-01,887.193,
2003-04,532.232,
2003-07,41.649,
2003-10,-289.879,
2004-01,1629.720,
2004-04,2724.440,
2004-07,-1889.601,
2004-10,356.745,
2005-01,182.222,
2005-04,1651.240,
2005-07,1043.189,
2005-10,271.638,
2006-01,1125.753,
2006-04,969.167,
2006-07,268.254,
2006-10,-312.334,
2007-01,3086.301,
2007-04,1768.601,
2007-07,-889.930,
2007-10,-182.344,
2008-01,1322.182,
2008-04,4136.144,
2008-07,126.998,
2008-10,363.685,
2009-01,907.325,
2009-04,3007.475,
2009-07,-2112.447,
2009-10,133.134,
2010-01,1228.195,
2010-04,601.388,
2010-07,-983.833,
2010-10,732.796,
2011-01,1594.344,
2011-04,446.323,
2011-07,187.779,
2011-10,687.603,
2012-01,-2241.882,
2012-04,2003.279,
2012-07,1118.097,
2012-10,1673.542,
2013-01,-1150.734,
2013-04,-1234.742,
2013-07,-1863.575,
2013-10,-109.935,
2014-01,1197.411,Provisional value
2014-04,217.610,Provisional value
2014-07,215.534,Provisional value
2014-10,-970.213,Provisional value
