"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.PT.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.PT.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Portugal / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:20,
2009-09,2533,
2009-10,2637,
2009-11,2663,
2009-12,2629,
2010-01,2548,
2010-02,2472,
2010-03,2469,
2010-04,2211,
2010-05,2137,
2010-06,2052,
2010-07,2007,
2010-08,2042,
2010-09,1979,
2010-10,1938,
2010-11,1797,
2010-12,1775,
2011-01,1654,
2011-02,1587,
2011-03,1554,
2011-04,1430,
2011-05,1274,
2011-06,1232,
2011-07,1076,
2011-08,977,
2011-09,964,
2011-10,924,
2011-11,889,
2011-12,851,
2012-01,806,
2012-02,745,
2012-03,590,
2012-04,484,
2012-05,462,
2012-06,477,
2012-07,315,
2012-08,320,
2012-09,334,
2012-10,346,
2012-11,286,
2012-12,295,
2013-01,367,
2013-02,378,
2013-03,390,
2013-04,372,
2013-05,347,
2013-06,338,
2013-07,330,
2013-08,336,
2013-09,338,
2013-10,342,
2013-11,355,
2013-12,348,
2014-01,436,
2014-02,448,
2014-03,518,
2014-04,537,
2014-05,597,
2014-06,688,
2014-07,699,
2014-08,717,
2014-09,712,
2014-10,695,
2014-11,572,
