"",BBK01.OECI02V,BBK01.OECI02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:31,
2002-01,2.340,
2002-04,2.694,
2002-07,2.765,
2002-10,3.066,
2003-01,2.678,
2003-04,2.714,
2003-07,2.721,
2003-10,3.706,
2004-01,3.889,
2004-04,4.609,
2004-07,4.869,
2004-10,3.884,
2005-01,4.428,
2005-04,4.795,
2005-07,6.225,
2005-10,4.876,
2006-01,4.555,
2006-04,4.539,
2006-07,4.616,
2006-10,5.151,
2007-01,4.931,
2007-04,4.998,
2007-07,5.035,
2007-10,5.439,
2008-01,5.562,
2008-04,5.318,
2008-07,5.759,
2008-10,5.916,
2009-01,7.610,
2009-04,6.805,
2009-07,6.845,
2009-10,6.151,
2010-01,6.061,
2010-04,6.121,
2010-07,6.300,
2010-10,6.286,
2011-01,6.217,
2011-04,6.428,
2011-07,6.995,
2011-10,7.047,
2012-01,7.027,
2012-04,6.183,
2012-07,6.256,
2012-10,6.753,
2013-01,6.850,
2013-04,6.761,
2013-07,6.697,
2013-10,6.905,
2014-01,6.972,
2014-04,7.035,
2014-07,7.442,
