"",BBK01.OECB13M,BBK01.OECB13M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:40,
2002-01,2.428,
2002-04,2.394,
2002-07,2.376,
2002-10,2.338,
2003-01,2.250,
2003-04,2.221,
2003-07,2.169,
2003-10,2.105,
2004-01,2.061,
2004-04,2.019,
2004-07,1.989,
2004-10,2.301,
2005-01,2.366,
2005-04,2.355,
2005-07,2.343,
2005-10,2.297,
2006-01,2.234,
2006-04,2.211,
2006-07,2.164,
2006-10,2.102,
2007-01,2.300,
2007-04,2.102,
2007-07,2.061,
2007-10,2.041,
2008-01,1.996,
2008-04,1.955,
2008-07,1.904,
2008-10,1.854,
2009-01,1.813,
2009-04,2.106,
2009-07,2.052,
2009-10,1.957,
2010-01,1.906,
2010-04,1.847,
2010-07,1.941,
2010-10,1.858,
2011-01,1.722,
2011-04,1.682,
2011-07,1.647,
2011-10,1.614,
2012-01,1.541,
2012-04,1.493,
2012-07,1.458,
2012-10,1.458,
2013-01,1.445,
2013-04,1.481,
2013-07,1.416,
2013-10,1.394,
2014-01,1.386,
2014-04,1.361,
2014-07,1.329,
