"",BBK01.OEAF32Q,BBK01.OEAF32Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:32,
2002-01,29.149,
2002-04,29.192,
2002-07,28.145,
2002-10,28.295,
2003-01,28.273,
2003-04,33.067,
2003-07,32.949,
2003-10,32.765,
2004-01,32.292,
2004-04,30.127,
2004-07,29.864,
2004-10,29.794,
2005-01,30.317,
2005-04,30.257,
2005-07,30.284,
2005-10,30.367,
2006-01,30.455,
2006-04,33.187,
2006-07,30.270,
2006-10,30.258,
2007-01,30.758,
2007-04,29.721,
2007-07,23.727,
2007-10,23.620,
2008-01,23.497,
2008-04,23.492,
2008-07,23.377,
2008-10,23.278,
2009-01,23.204,
2009-04,24.160,
2009-07,24.200,
2009-10,24.308,
2010-01,24.212,
2010-04,24.268,
2010-07,24.172,
2010-10,24.165,
2011-01,24.108,
2011-04,24.122,
2011-07,24.405,
2011-10,24.202,
2012-01,24.131,
2012-04,24.329,
2012-07,24.511,
2012-10,24.539,
2013-01,24.559,
2013-04,24.664,
2013-07,24.859,
2013-10,24.987,
2014-01,25.047,
2014-04,25.213,
2014-07,25.439,
