"",BBK01.OEAG04Q,BBK01.OEAG04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:32,
2002-01,6.295,
2002-04,6.257,
2002-07,5.969,
2002-10,6.036,
2003-01,6.069,
2003-04,6.056,
2003-07,6.103,
2003-10,6.013,
2004-01,6.465,
2004-04,6.334,
2004-07,6.092,
2004-10,5.829,
2005-01,6.019,
2005-04,6.133,
2005-07,6.001,
2005-10,5.921,
2006-01,6.136,
2006-04,6.156,
2006-07,5.869,
2006-10,5.780,
2007-01,5.825,
2007-04,5.591,
2007-07,5.510,
2007-10,5.464,
2008-01,5.996,
2008-04,6.099,
2008-07,6.087,
2008-10,6.304,
2009-01,6.159,
2009-04,6.241,
2009-07,6.251,
2009-10,5.898,
2010-01,5.866,
2010-04,5.917,
2010-07,5.953,
2010-10,6.010,
2011-01,5.977,
2011-04,5.590,
2011-07,5.430,
2011-10,5.334,
2012-01,5.185,
2012-04,4.936,
2012-07,4.868,
2012-10,4.723,
2013-01,4.680,
2013-04,4.572,
2013-07,4.487,
2013-10,4.405,
2014-01,4.443,
2014-04,4.378,
2014-07,4.342,
