"",BBK01.CELB01,BBK01.CELB01_FLAGS
"",long-term debt securities debtor: Total                               creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:23,
1999-01,22.8,
1999-04,-8.7,
1999-07,5.1,
1999-10,22.2,
2000-01,-2.0,
2000-04,3.5,
2000-07,12.6,
2000-10,21.5,
2001-01,15.7,
2001-04,6.5,
2001-07,3.8,
2001-10,-6.2,
2002-01,3.9,
2002-04,-21.6,
2002-07,2.9,
2002-10,-27.8,
2003-01,-8.2,
2003-04,-3.5,
2003-07,-4.5,
2003-10,-30.1,
2004-01,-23.2,
2004-04,-16.3,
2004-07,-8.4,
2004-10,-10.9,
2005-01,-15.9,
2005-04,11.2,
2005-07,-13.4,
2005-10,-1.6,
2006-01,0.3,
2006-04,2.6,
2006-07,4.1,
2006-10,-3.7,
2007-01,2.0,
2007-04,-0.2,
2007-07,3.3,
2007-10,-4.6,
2008-01,-2.0,
2008-04,0.1,
2008-07,0.0,
2008-10,2.1,
2009-01,2.7,
2009-04,-1.0,
2009-07,0.0,
2009-10,-0.8,
2010-01,-0.1,
2010-04,1.0,
2010-07,1.8,
2010-10,0.1,
2011-01,3.1,
2011-04,-0.4,
2011-07,-0.2,
2011-10,0.3,
2012-01,0.9,
2012-04,-0.5,
2012-07,-0.9,
2012-10,0.4,
2013-01,-0.6,
2013-04,-1.4,
2013-07,0.9,
2013-10,-0.2,
2014-01,-0.5,
2014-04,0.4,
2014-07,0.3,
