"",BBK01.OELM01L,BBK01.OELM01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:28,
2002-01,0.369,
2002-04,0.378,
2002-07,0.363,
2002-10,0.419,
2003-01,0.323,
2003-04,0.343,
2003-07,0.351,
2003-10,0.427,
2004-01,0.386,
2004-04,0.411,
2004-07,0.421,
2004-10,0.531,
2005-01,0.428,
2005-04,0.501,
2005-07,0.480,
2005-10,0.603,
2006-01,0.410,
2006-04,0.466,
2006-07,0.511,
2006-10,0.760,
2007-01,0.510,
2007-04,0.526,
2007-07,0.571,
2007-10,0.770,
2008-01,0.437,
2008-04,0.497,
2008-07,0.478,
2008-10,0.590,
2009-01,0.605,
2009-04,0.616,
2009-07,0.622,
2009-10,0.742,
2010-01,0.681,
2010-04,0.654,
2010-07,0.738,
2010-10,0.771,
2011-01,0.768,
2011-04,0.778,
2011-07,0.803,
2011-10,0.889,
2012-01,0.780,
2012-04,0.751,
2012-07,0.793,
2012-10,0.803,
2013-01,0.829,
2013-04,0.915,
2013-07,0.978,
2013-10,0.961,
2014-01,0.886,
2014-04,0.874,
2014-07,0.910,
