"",BBK01.OEHB12N,BBK01.OEHB12N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:10,
2002-01,22.664,
2002-04,22.697,
2002-07,22.900,
2002-10,23.273,
2003-01,23.058,
2003-04,23.314,
2003-07,23.394,
2003-10,23.915,
2004-01,24.199,
2004-04,24.221,
2004-07,24.685,
2004-10,25.166,
2005-01,25.052,
2005-04,25.176,
2005-07,25.316,
2005-10,25.608,
2006-01,25.852,
2006-04,25.977,
2006-07,26.165,
2006-10,26.274,
2007-01,26.666,
2007-04,27.107,
2007-07,27.531,
2007-10,28.280,
2008-01,28.761,
2008-04,29.412,
2008-07,30.548,
2008-10,31.321,
2009-01,31.648,
2009-04,32.069,
2009-07,32.666,
2009-10,33.303,
2010-01,33.531,
2010-04,34.065,
2010-07,34.379,
2010-10,34.809,
2011-01,35.251,
2011-04,35.763,
2011-07,36.099,
2011-10,36.576,
2012-01,36.996,
2012-04,37.473,
2012-07,37.717,
2012-10,38.076,
2013-01,38.254,
2013-04,38.541,
2013-07,38.738,
2013-10,38.950,
2014-01,39.122,
2014-04,39.490,
2014-07,39.764,
