"",BBK01.OEAF35I,BBK01.OEAF35I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:42,
2002-01,4.237,
2002-04,4.242,
2002-07,4.186,
2002-10,4.197,
2003-01,4.302,
2003-04,4.553,
2003-07,4.167,
2003-10,3.935,
2004-01,3.841,
2004-04,3.883,
2004-07,3.856,
2004-10,3.854,
2005-01,4.110,
2005-04,4.066,
2005-07,4.185,
2005-10,4.244,
2006-01,4.319,
2006-04,4.370,
2006-07,4.319,
2006-10,3.891,
2007-01,3.878,
2007-04,3.916,
2007-07,3.914,
2007-10,3.866,
2008-01,3.982,
2008-04,4.435,
2008-07,4.564,
2008-10,5.428,
2009-01,5.517,
2009-04,5.722,
2009-07,5.694,
2009-10,6.846,
2010-01,6.060,
2010-04,5.955,
2010-07,5.612,
2010-10,5.542,
2011-01,5.419,
2011-04,5.277,
2011-07,5.210,
2011-10,4.724,
2012-01,4.659,
2012-04,4.535,
2012-07,4.329,
2012-10,4.218,
2013-01,4.134,
2013-04,4.104,
2013-07,4.056,
2013-10,4.001,
2014-01,3.865,
2014-04,4.027,
2014-07,4.059,
