"",BBK01.TVD418,BBK01.TVD418_FLAGS
"",Lending to non-banks (non-MFIs) in the euro area / in other member states / Total / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:20:54,
1980-01,0,
1980-02,64,
1980-03,359,
1980-04,95,
1980-05,-36,
1980-06,26,
1980-07,-46,
1980-08,107,
1980-09,17,
1980-10,340,
1980-11,313,
1980-12,-139,
1981-01,-26,
1981-02,13,
1981-03,129,
1981-04,-31,
1981-05,258,
1981-06,-16,
1981-07,114,
1981-08,101,
1981-09,-146,
1981-10,166,
1981-11,154,
1981-12,230,
1982-01,-207,
1982-02,137,
1982-03,48,
1982-04,-100,
1982-05,28,
1982-06,61,
1982-07,-195,
1982-08,39,
1982-09,18,
1982-10,5,
1982-11,144,
1982-12,-13,
1983-01,-249,
1983-02,-25,
1983-03,-121,
1983-04,9,
1983-05,61,
1983-06,303,
1983-07,-307,
1983-08,-46,
1983-09,132,
1983-10,99,
1983-11,179,
1983-12,248,
1984-01,-208,
1984-02,-98,
1984-03,7,
1984-04,32,
1984-05,205,
1984-06,172,
1984-07,22,
1984-08,-5,
1984-09,453,
1984-10,178,
1984-11,94,
1984-12,486,
1985-01,-30,
1985-02,773,
1985-03,-263,
1985-04,-136,
1985-05,-95,
1985-06,458,
1985-07,-238,
1985-08,66,
1985-09,77,
1985-10,324,
1985-11,435,
1985-12,684,
1986-01,-199,
1986-02,372,
1986-03,214,
1986-04,57,
1986-05,787,
1986-06,286,
1986-07,-51,
1986-08,179,
1986-09,775,
1986-10,-19,
1986-11,469,
1986-12,57,
1987-01,-152,
1987-02,297,
1987-03,528,
1987-04,10,
1987-05,415,
1987-06,534,
1987-07,-122,
1987-08,71,
1987-09,16,
1987-10,-151,
1987-11,-327,
1987-12,-99,
1988-01,-51,
1988-02,161,
1988-03,186,
1988-04,-176,
1988-05,319,
1988-06,740,
1988-07,347,
1988-08,287,
1988-09,282,
1988-10,-125,
1988-11,100,
1988-12,-3,
1989-01,28,
1989-02,-60,
1989-03,341,
1989-04,170,
1989-05,631,
1989-06,431,
1989-07,21,
