"",BBSF2.M.1.S.00000.REN01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.REN01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Special investors funds / Bonds funds / Long-term debt securities / Germany,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:43,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,28868,
1993-05,29726,
1993-06,30338,
1993-07,31430,
1993-08,33748,
1993-09,34312,
1993-10,34643,
1993-11,35516,
1993-12,36325,
1994-01,35900,
1994-02,36569,
1994-03,36715,
1994-04,36937,
1994-05,37173,
1994-06,36962,
1994-07,37804,
1994-08,37724,
1994-09,37632,
1994-10,37712,
1994-11,39253,
1994-12,39373,
1995-01,39695,
1995-02,39982,
1995-03,41190,
1995-04,41355,
1995-05,41581,
1995-06,41260,
1995-07,43390,
1995-08,44379,
1995-09,45538,
1995-10,46896,
1995-11,47622,
1995-12,47786,
1996-01,48600,
1996-02,48001,
1996-03,49207,
1996-04,51077,
1996-05,51314,
1996-06,51330,
1996-07,51561,
1996-08,52443,
1996-09,53210,
1996-10,54209,
1996-11,55769,
1996-12,55220,
1997-01,56682,
1997-02,58185,
1997-03,58285,
1997-04,59781,
1997-05,59883,
1997-06,61231,
1997-07,60884,
1997-08,60387,
1997-09,59735,
1997-10,57918,
1997-11,58071,
1997-12,59833,
1998-01,61065,
1998-02,63055,
1998-03,63686,
1998-04,64104,
1998-05,65951,
1998-06,66698,
1998-07,67273,
1998-08,68911,
1998-09,69584,
1998-10,69781,
1998-11,71370,
1998-12,70581,
1999-01,73187,
1999-02,71823,
1999-03,71032,
1999-04,72141,
1999-05,71832,
1999-06,69489,
1999-07,69669,
1999-08,69304,
1999-09,69016,
1999-10,68529,
1999-11,70485,
1999-12,74491,
2000-01,73065,
2000-02,73979,
2000-03,73210,
2000-04,73405,
2000-05,72467,
2000-06,72240,
2000-07,72841,
2000-08,71999,
2000-09,72157,
2000-10,72156,
2000-11,71820,
2000-12,72343,
2001-01,72661,
2001-02,72149,
2001-03,72271,
2001-04,70467,
2001-05,68305,
2001-06,69143,
2001-07,69986,
2001-08,69621,
2001-09,70893,
2001-10,72267,
2001-11,69608,
2001-12,71457,
2002-01,71182,
2002-02,71684,
2002-03,70735,
2002-04,70643,
2002-05,70531,
2002-06,69045,
2002-07,68317,
2002-08,70712,
2002-09,71972,
2002-10,71794,
2002-11,69853,
2002-12,69683,
2003-01,70146,
2003-02,71591,
2003-03,68603,
2003-04,68345,
2003-05,69559,
2003-06,69253,
2003-07,68156,
2003-08,66603,
2003-09,66773,
2003-10,63802,
2003-11,63236,
2003-12,62495,
2004-01,60300,
2004-02,59160,
2004-03,57814,
2004-04,56319,
2004-05,55036,
2004-06,54692,
2004-07,54443,
2004-08,53727,
2004-09,53277,
2004-10,53212,
2004-11,52702,
2004-12,52662,
2005-01,53095,
2005-02,51068,
2005-03,51687,
2005-04,52728,
2005-05,52691,
2005-06,51921,
2005-07,51197,
2005-08,50579,
2005-09,49960,
2005-10,49430,
2005-11,48728,
2005-12,47281,
2006-01,44670,
2006-02,44353,
2006-03,43215,
2006-04,42258,
2006-05,42855,
2006-06,42300,
2006-07,43270,
2006-08,43580,
2006-09,45480,
2006-10,44886,
2006-11,44579,
2006-12,42362,
2007-01,42568,
2007-02,43175,
2007-03,43106,
2007-04,42622,
2007-05,41308,
2007-06,39962,
2007-07,41160,
2007-08,41058,
2007-09,39933,
2007-10,40199,
2007-11,40183,
2007-12,40853,
2008-01,40864,
2008-02,40896,
2008-03,39755,
2008-04,38822,
2008-05,37559,
2008-06,36487,
2008-07,36688,
2008-08,36859,
2008-09,36589,
2008-10,37182,
2008-11,38150,
2008-12,38016,
2009-01,37948,
2009-02,38439,
2009-03,38761,
2009-04,38347,
2009-05,40135,
2009-06,40333,
2009-07,40305,
2009-08,40302,
2009-09,39883,
2009-10,38725,
2009-11,38924,
2009-12,39424,
2010-01,40343,
2010-02,41150,
2010-03,41853,
2010-04,42910,
2010-05,42924,
2010-06,42365,
2010-07,41285,
2010-08,42184,
2010-09,41607,
2010-10,40628,
2010-11,40445,
2010-12,40128,
2011-01,39185,
2011-02,39039,
2011-03,38500,
2011-04,37217,
2011-05,37609,
2011-06,37780,
2011-07,38375,
2011-08,39453,
2011-09,39920,
2011-10,39609,
2011-11,39485,
2011-12,42596,
2012-01,41786,
2012-02,41283,
2012-03,40629,
2012-04,39954,
2012-05,41109,
2012-06,40745,
2012-07,42242,
2012-08,42305,
2012-09,41825,
2012-10,41372,
2012-11,40418,
2012-12,40356,
2013-01,38951,
2013-02,38288,
2013-03,38513,
2013-04,38156,
2013-05,37256,
2013-06,36943,
2013-07,36888,
2013-08,36684,
2013-09,36032,
2013-10,35223,
2013-11,35023,
2013-12,35298,
2014-01,35407,
2014-02,35591,
2014-03,35808,
2014-04,34620,
2014-05,35222,
2014-06,34644,
2014-07,34565,
2014-08,35298,
2014-09,35591,
2014-10,36007,
2014-11,36157,
