"",BBFB1.Q.N.DE.R5.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:38,
1991-01,170.557,
1991-04,-138.689,
1991-07,93.715,
1991-10,517.749,
1992-01,437.777,
1992-04,331.962,
1992-07,213.197,
1992-10,1313.088,
1993-01,-144.476,
1993-04,253.177,
1993-07,73.575,
1993-10,323.382,
1994-01,746.294,
1994-04,357.531,
1994-07,898.206,
1994-10,21.193,
1995-01,-353.437,
1995-04,121.550,
1995-07,-27.231,
1995-10,464.553,
1996-01,-358.917,
1996-04,621.765,
1996-07,-213.897,
1996-10,-517.970,
1997-01,-370.149,
1997-04,208.837,
1997-07,-246.685,
1997-10,-103.144,
1998-01,-63.252,
1998-04,-342.920,
1998-07,-42.819,
1998-10,631.609,
1999-01,500.078,
1999-04,299.681,
1999-07,-146.101,
1999-10,204.606,
2000-01,-346.249,
2000-04,-128.722,
2000-07,576.655,
2000-10,163.084,
2001-01,-277.294,
2001-04,605.470,
2001-07,-706.863,
2001-10,158.722,
2002-01,107.308,
2002-04,654.137,
2002-07,-729.373,
2002-10,311.266,
2003-01,9.350,
2003-04,-370.551,
2003-07,416.483,
2003-10,455.332,
2004-01,870.735,
2004-04,623.426,
2004-07,392.875,
2004-10,900.067,
2005-01,-1600.292,
2005-04,403.343,
2005-07,568.872,
2005-10,336.735,
2006-01,383.059,
2006-04,432.432,
2006-07,-439.254,
2006-10,57.263,
2007-01,844.938,
2007-04,945.802,
2007-07,496.124,
2007-10,1594.090,
2008-01,301.433,
2008-04,787.297,
2008-07,1702.079,
2008-10,-550.564,
2009-01,-883.545,
2009-04,-1119.304,
2009-07,-2.880,
2009-10,540.639,
2010-01,114.886,
2010-04,45.428,
2010-07,476.667,
2010-10,506.087,
2011-01,-139.529,
2011-04,-899.002,
2011-07,-222.104,
2011-10,-398.686,
2012-01,1773.720,
2012-04,-1377.589,
2012-07,-58.144,
2012-10,1420.656,
2013-01,1279.393,
2013-04,1888.037,
2013-07,297.001,
2013-10,-487.119,
2014-01,-689.799,Provisional value
2014-04,1861.175,Provisional value
2014-07,-383.266,Provisional value
2014-10,-460.581,Provisional value
