"",BBK01.OEXB11J,BBK01.OEXB11J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:22,
2002-01,0.247,
2002-04,0.229,
2002-07,0.177,
2002-10,0.163,
2003-01,0.153,
2003-04,0.143,
2003-07,0.159,
2003-10,0.153,
2004-01,0.139,
2004-04,0.135,
2004-07,0.132,
2004-10,0.129,
2005-01,0.119,
2005-04,0.118,
2005-07,0.119,
2005-10,0.110,
2006-01,0.107,
2006-04,0.110,
2006-07,0.112,
2006-10,0.103,
2007-01,0.140,
2007-04,0.160,
2007-07,0.171,
2007-10,0.189,
2008-01,0.193,
2008-04,0.190,
2008-07,0.186,
2008-10,0.202,
2009-01,0.203,
2009-04,0.198,
2009-07,0.203,
2009-10,0.204,
2010-01,0.205,
2010-04,0.179,
2010-07,0.157,
2010-10,0.151,
2011-01,0.139,
2011-04,0.140,
2011-07,0.162,
2011-10,0.164,
2012-01,0.154,
2012-04,0.152,
2012-07,0.141,
2012-10,0.155,
2013-01,0.149,
2013-04,0.139,
2013-07,0.142,
2013-10,0.161,
2014-01,0.155,
2014-04,0.171,
2014-07,0.181,
