"",BBK01.OEAE31Q,BBK01.OEAE31Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:30,
2002-01,5.236,
2002-04,5.318,
2002-07,5.327,
2002-10,5.503,
2003-01,5.460,
2003-04,6.213,
2003-07,6.111,
2003-10,6.542,
2004-01,6.745,
2004-04,4.469,
2004-07,4.461,
2004-10,5.109,
2005-01,5.056,
2005-04,5.224,
2005-07,5.209,
2005-10,5.218,
2006-01,5.176,
2006-04,5.267,
2006-07,5.363,
2006-10,5.630,
2007-01,5.386,
2007-04,5.138,
2007-07,4.766,
2007-10,4.885,
2008-01,4.147,
2008-04,4.205,
2008-07,4.251,
2008-10,4.202,
2009-01,2.858,
2009-04,2.769,
2009-07,3.079,
2009-10,3.161,
2010-01,3.572,
2010-04,3.601,
2010-07,3.512,
2010-10,3.613,
2011-01,3.366,
2011-04,3.379,
2011-07,3.067,
2011-10,3.172,
2012-01,3.213,
2012-04,3.264,
2012-07,3.300,
2012-10,3.577,
2013-01,3.633,
2013-04,3.618,
2013-07,3.671,
2013-10,3.747,
2014-01,3.852,
2014-04,3.848,
2014-07,3.806,
