"",BBFB1.Q.N.DE.E14000.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:18,
1991-01,9759.651,
1991-04,8618.139,
1991-07,8599.964,
1991-10,9793.682,
1992-01,8658.934,
1992-04,8147.445,
1992-07,7611.601,
1992-10,7816.385,
1993-01,7102.303,
1993-04,7451.752,
1993-07,7286.103,
1993-10,8975.895,
1994-01,7481.800,
1994-04,7723.149,
1994-07,7196.650,
1994-10,8075.997,
1995-01,7877.676,
1995-04,8026.578,
1995-07,8111.948,
1995-10,8857.289,
1996-01,8313.821,
1996-04,8630.311,
1996-07,8764.844,
1996-10,9434.942,
1997-01,8788.990,
1997-04,10295.670,
1997-07,10549.647,
1997-10,11532.943,
1998-01,10507.557,
1998-04,10960.701,
1998-07,10420.695,
1998-10,10006.918,
1999-01,8455.706,
1999-04,9242.482,
1999-07,9228.006,
1999-10,9827.463,
2000-01,9889.801,
2000-04,10980.263,
2000-07,11747.213,
2000-10,11949.585,
2001-01,11927.386,
2001-04,12669.384,
2001-07,12607.499,
2001-10,13207.805,
2002-01,11965.061,
2002-04,12976.794,
2002-07,13088.300,
2002-10,13756.708,
2003-01,12614.561,
2003-04,13541.329,
2003-07,13991.206,
2003-10,13997.651,
2004-01,14815.374,
2004-04,15996.112,
2004-07,16140.153,
2004-10,17124.073,
2005-01,16232.908,
2005-04,17093.584,
2005-07,18526.306,
2005-10,19317.596,
2006-01,18548.822,
2006-04,19676.484,
2006-07,22048.021,
2006-10,25954.435,
2007-01,22049.604,
2007-04,23902.882,
2007-07,24870.957,
2007-10,25483.813,
2008-01,24518.157,
2008-04,26458.073,
2008-07,27209.597,
2008-10,25648.204,
2009-01,19627.064,
2009-04,19051.877,
2009-07,20741.488,
2009-10,21937.444,
2010-01,21732.310,
2010-04,24986.175,
2010-07,26562.503,
2010-10,28186.673,
2011-01,28764.731,
2011-04,30653.452,
2011-07,33149.804,
2011-10,31042.994,
2012-01,32027.138,
2012-04,32756.408,
2012-07,32828.589,
2012-10,32184.971,
2013-01,31351.080,
2013-04,33483.705,
2013-07,31986.779,
2013-10,30886.033,
2014-01,29496.090,Provisional value
2014-04,29733.756,Provisional value
2014-07,29639.277,Provisional value
