"",BBFB1.M.N.DE.W1.S1.S1.T.LI.FA.P.F51._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.LI.FA.P.F51._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Shares / Purchases / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:01,
1991-01,2322.400,
1991-02,3941.613,
1991-03,3556.351,
1991-04,3696.426,
1991-05,4850.897,
1991-06,5780.568,
1991-07,5037.906,
1991-08,4073.423,
1991-09,2825.306,
1991-10,2634.607,
1991-11,2730.642,
1991-12,2536.413,
1992-01,4260.814,
1992-02,3723.834,
1992-03,4744.295,
1992-04,4026.995,
1992-05,6093.140,
1992-06,5702.748,
1992-07,4962.257,
1992-08,2978.493,
1992-09,4263.557,
1992-10,3366.459,
1992-11,2690.374,
1992-12,5351.705,
1993-01,4072.695,
1993-02,5349.065,
1993-03,9972.279,
1993-04,5757.619,
1993-05,8624.769,
1993-06,8427.189,
1993-07,9175.890,
1993-08,7750.674,
1993-09,6154.902,
1993-10,7189.267,
1993-11,6783.917,
1993-12,8321.807,
1994-01,8473.873,
1994-02,8092.636,
1994-03,9423.307,
1994-04,8351.905,
1994-05,8003.593,
1994-06,9939.656,
1994-07,5640.398,
1994-08,6570.113,
1994-09,4501.305,
1994-10,6882.534,
1994-11,4793.003,
1994-12,4705.417,
1995-01,4608.791,
1995-02,5830.099,
1995-03,6830.723,
1995-04,5542.272,
1995-05,8723.572,
1995-06,11321.433,
1995-07,6921.984,
1995-08,6260.187,
1995-09,7252.074,
1995-10,6122.672,
1995-11,6442.449,
1995-12,6435.159,
1996-01,9288.114,
1996-02,8987.570,
1996-03,14588.206,
1996-04,7939.391,
1996-05,11149.610,
1996-06,14245.389,
1996-07,8121.391,
1996-08,5928.674,
1996-09,9911.515,
1996-10,7452.979,
1996-11,13887.967,
1996-12,9979.507,
1997-01,11283.398,
1997-02,12059.018,
1997-03,18132.675,
1997-04,13039.060,
1997-05,16208.476,
1997-06,23419.776,
1997-07,23631.996,
1997-08,14336.060,
1997-09,19465.416,
1997-10,16613.216,
1997-11,10632.831,
1997-12,18457.712,
1998-01,15312.574,
1998-02,18795.912,
1998-03,34263.129,
1998-04,29301.325,
1998-05,26448.150,
1998-06,43970.027,
1998-07,32637.404,
1998-08,21782.154,
1998-09,24505.157,
1998-10,19755.700,
1998-11,47357.064,
1998-12,23320.356,
1999-01,22106.545,
1999-02,22755.314,
1999-03,29237.923,
1999-04,30762.456,
1999-05,29939.120,
1999-06,53027.066,
1999-07,38320.106,
