"",BBFN1.M.DE.N.1.A.SY.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SY.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Syria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:23,
1994-07,0.331,
1994-08,0.356,
1994-09,0.361,
1994-10,0.346,
1994-11,0.351,
1994-12,0.349,
1995-01,0.348,
1995-02,0.342,
1995-03,0.345,
1995-04,0.351,
1995-05,0.355,
1995-06,0.349,
1995-07,0.348,
1995-08,0.338,
1995-09,0.341,
1995-10,0.339,
1995-11,0.334,
1995-12,0.323,
1996-01,0.338,
1996-02,0.335,
1996-03,0.334,
1996-04,0.333,
1996-05,0.338,
1996-06,0.339,
1996-07,0.340,
1996-08,0.334,
1996-09,0.341,
1996-10,0.344,
1996-11,0.346,
1996-12,0.356,
1997-01,0.348,
1997-02,0.344,
1997-03,0.335,
1997-04,0.336,
1997-05,0.335,
1997-06,0.343,
1997-07,0.339,
1997-08,0.346,
1997-09,0.341,
1997-10,0.345,
1997-11,0.347,
1997-12,0.351,
1998-01,0.348,
1998-02,0.358,
1998-03,0.344,
1998-04,0.348,
1998-05,0.308,
1998-06,0.348,
1998-07,0.339,
1998-08,0.331,
1998-09,0.349,
1998-10,0.358,
1998-11,0.336,
1998-12,0.326,
1999-01,0.325,
1999-02,0.327,
1999-03,0.314,
1999-04,0.309,
1999-05,0.320,
1999-06,0.321,
1999-07,0.328,
1999-08,0.333,
1999-09,0.335,
1999-10,0.344,
1999-11,0.351,
1999-12,0.350,
2000-01,0.373,
2000-02,0.357,
2000-03,0.358,
2000-04,0.353,
2000-05,0.362,
2000-06,0.381,
2000-07,0.364,
2000-08,0.378,
2000-09,0.381,
2000-10,0.385,
2000-11,0.399,
2000-12,0.197,
2001-01,0.180,
2001-02,0.196,
2001-03,0.178,
2001-04,0.184,
2001-05,0.187,
2001-06,0.195,
2001-07,0.199,
2001-08,0.191,
2001-09,0.208,
2001-10,0.211,
2001-11,0.188,
2001-12,0.185,
2002-01,0.167,
2002-02,0.169,
2002-03,0.176,
2002-04,0.218,
2002-05,0.203,
2002-06,0.212,
2002-07,0.213,
2002-08,0.209,
2002-09,0.212,
2002-10,0.203,
2002-11,0.200,
2002-12,0.193,
2003-01,0.194,
2003-02,0.191,
2003-03,0.188,
2003-04,0.197,
2003-05,0.176,
2003-06,0.169,
2003-07,0.158,
2003-08,0.177,
2003-09,0.186,
2003-10,0.172,
2003-11,0.167,
2003-12,0.164,
2004-01,0.155,
2004-02,0.144,
2004-03,0.155,
2004-04,0.142,
2004-05,0.167,
2004-06,0.162,
2004-07,0.146,
2004-08,0.166,
2004-09,0.176,
2004-10,0.166,
2004-11,0.165,
2004-12,0.155,
2005-01,0.135,
2005-02,0.153,
2005-03,0.171,
2005-04,0.175,
2005-05,0.175,
2005-06,0.172,
2005-07,0.182,
2005-08,0.196,
2005-09,0.178,
2005-10,0.182,
2005-11,0.242,
2005-12,0.242,
2006-01,0.238,
2006-02,0.255,
2006-03,0.258,
2006-04,0.274,
2006-05,0.262,
2006-06,0.289,
2006-07,0.269,
2006-08,0.328,
2006-09,0.242,
2006-10,0.244,
2006-11,0.266,
2006-12,0.226,
2007-01,0.210,
2007-02,0.216,
2007-03,0.221,
2007-04,0.215,
2007-05,0.224,
2007-06,0.222,
2007-07,0.253,
2007-08,0.224,
2007-09,0.219,
2007-10,0.219,
2007-11,0.218,
2007-12,0.236,
2008-01,0.239,
2008-02,0.220,
2008-03,0.228,
2008-04,0.237,
2008-05,0.231,
2008-06,0.266,
2008-07,0.286,
2008-08,0.260,
2008-09,0.269,
2008-10,0.252,
2008-11,0.234,
2008-12,0.237,
2009-01,0.232,
2009-02,0.214,
2009-03,0.219,
2009-04,0.220,
2009-05,0.221,
2009-06,0.210,
2009-07,0.206,
2009-08,0.234,
2009-09,0.210,
2009-10,0.227,
2009-11,0.295,
2009-12,0.214,
2010-01,0.210,
2010-02,0.226,
2010-03,0.256,
2010-04,0.258,
2010-05,0.286,
2010-06,0.240,
2010-07,0.272,
2010-08,0.277,
2010-09,0.230,
2010-10,0.258,
2010-11,0.223,
2010-12,0.180,
2011-01,0.179,
2011-02,0.191,
2011-03,0.175,
2011-04,0.183,
2011-05,0.177,
2011-06,0.182,
2011-07,0.170,
2011-08,0.163,
2011-09,0.166,
2011-10,0.162,
2011-11,0.148,
2011-12,0.132,
2012-01,0.150,
2012-02,0.171,
2012-03,0.168,
2012-04,0.165,
2012-05,0.159,
2012-06,0.158,
2012-07,0.154,
2012-08,0.147,
2012-09,0.193,
2012-10,0.155,
2012-11,0.154,
2012-12,0.150,
2013-01,0.144,
2013-02,0.146,
2013-03,0.148,
2013-04,0.146,
2013-05,0.118,
2013-06,0.119,
2013-07,0.140,
2013-08,0.145,
2013-09,0.148,
2013-10,0.144,
2013-11,0.144,
2013-12,0.139,
2014-01,0.137,
2014-02,0.140,
2014-03,0.138,
2014-04,0.137,
2014-05,0.135,
2014-06,0.134,
2014-07,0.134,
2014-08,0.134,
2014-09,0.134,
2014-10,0.134,
2014-11,0.130,
2014-12,0.131,
