"",BBK01.TVA490,BBK01.TVA490_FLAGS
"",Intra-eurosystem liability/claim related to banknote issue / German contribution / Changes,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:58,
2002-01,11599,
2002-02,-3383,
2002-03,3379,
2002-04,1269,
2002-05,2850,
2002-06,1035,
2002-07,2029,
2002-08,3188,
2002-09,2163,
2002-10,2027,
2002-11,1451,
2002-12,1522,
2003-01,496,
2003-02,2231,
2003-03,1481,
2003-04,904,
2003-05,2370,
2003-06,649,
2003-07,1091,
2003-08,2497,
2003-09,1349,
2003-10,1166,
2003-11,988,
2003-12,239,
2004-01,3523,
2004-02,1087,
2004-03,1221,
2004-04,1872,
2004-05,1048,
2004-06,580,
2004-07,1713,
2004-08,2968,
2004-09,2332,
2004-10,1357,
2004-11,846,
2004-12,255,
2005-01,1145,
2005-02,1300,
2005-03,2099,
2005-04,884,
2005-05,2440,
2005-06,710,
2005-07,589,
2005-08,1562,
2005-09,2308,
2005-10,28,
2005-11,-102,
2005-12,-1221,
2006-01,655,
2006-02,1983,
2006-03,458,
2006-04,440,
2006-05,802,
2006-06,1082,
2006-07,646,
2006-08,2661,
2006-09,2004,
2006-10,589,
2006-11,-140,
2006-12,-1980,
2007-01,1127,
2007-02,1074,
2007-03,983,
2007-04,0,
2007-05,2867,
2007-06,1175,
2007-07,506,
2007-08,2302,
2007-09,1775,
2007-10,1359,
2007-11,1074,
2007-12,922,
2008-01,730,
2008-02,2130,
2008-03,1368,
2008-04,423,
2008-05,2110,
2008-06,904,
2008-07,199,
2008-08,2393,
2008-09,2081,
2008-10,7494,
2008-11,1319,
2008-12,1110,
2009-01,17463,
2009-02,1518,
2009-03,-316,
2009-04,1344,
2009-05,429,
2009-06,-318,
2009-07,-106,
2009-08,1616,
2009-09,1558,
2009-10,1541,
2009-11,304,
2009-12,14,
2010-01,748,
2010-02,2088,
2010-03,544,
2010-04,874,
2010-05,599,
2010-06,-801,
2010-07,318,
2010-08,2007,
2010-09,2629,
2010-10,867,
2010-11,-68,
2010-12,494,
2011-01,706,
2011-02,1069,
2011-03,590,
2011-04,665,
2011-05,1468,
2011-06,1483,
2011-07,1789,
2011-08,2590,
2011-09,3199,
2011-10,77,
2011-11,137,
2011-12,-389,
2012-01,549,
2012-02,1186,
2012-03,3237,
2012-04,2132,
2012-05,1679,
2012-06,1745,
2012-07,3508,
2012-08,3926,
2012-09,3420,
2012-10,2817,
2012-11,2580,
2012-12,3040,
2013-01,-859,
2013-02,1997,
2013-03,2350,
2013-04,286,
2013-05,2891,
2013-06,1258,
2013-07,3250,
2013-08,3364,
2013-09,3203,
2013-10,2163,
2013-11,1509,
2013-12,2531,
2014-01,10410,
2014-02,2437,
2014-03,1562,
2014-04,2180,
2014-05,2997,
2014-06,2831,
2014-07,4491,
2014-08,3654,
2014-09,3837,
2014-10,3166,
2014-11,2538,
2014-12,3560,
2015-01,2361,
