"",BBK01.OEAN02J,BBK01.OEAN02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:53,
2002-01,4.077,
2002-04,4.005,
2002-07,4.023,
2002-10,4.152,
2003-01,4.247,
2003-04,4.200,
2003-07,4.320,
2003-10,4.609,
2004-01,4.651,
2004-04,4.709,
2004-07,5.185,
2004-10,4.992,
2005-01,5.275,
2005-04,5.341,
2005-07,5.311,
2005-10,5.481,
2006-01,5.519,
2006-04,5.513,
2006-07,5.476,
2006-10,5.485,
2007-01,5.407,
2007-04,5.372,
2007-07,5.290,
2007-10,5.323,
2008-01,5.034,
2008-04,4.863,
2008-07,4.696,
2008-10,4.850,
2009-01,4.848,
2009-04,4.764,
2009-07,4.823,
2009-10,4.749,
2010-01,4.675,
2010-04,4.608,
2010-07,4.514,
2010-10,4.515,
2011-01,4.523,
2011-04,4.462,
2011-07,4.426,
2011-10,4.425,
2012-01,4.511,
2012-04,4.512,
2012-07,4.446,
2012-10,4.431,
2013-01,4.344,
2013-04,4.273,
2013-07,4.251,
2013-10,4.282,
2014-01,4.161,
2014-04,4.128,
2014-07,3.999,
