"",BBK01.OEAI01Q,BBK01.OEAI01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:07,
2002-01,54.124,
2002-04,53.714,
2002-07,51.728,
2002-10,54.844,
2003-01,53.784,
2003-04,53.941,
2003-07,58.154,
2003-10,57.485,
2004-01,57.550,
2004-04,54.933,
2004-07,54.264,
2004-10,68.291,
2005-01,71.242,
2005-04,71.928,
2005-07,73.774,
2005-10,74.233,
2006-01,73.250,
2006-04,74.802,
2006-07,69.358,
2006-10,72.992,
2007-01,73.971,
2007-04,78.486,
2007-07,80.049,
2007-10,86.296,
2008-01,87.383,
2008-04,92.783,
2008-07,94.273,
2008-10,98.981,
2009-01,103.419,
2009-04,98.614,
2009-07,101.808,
2009-10,99.052,
2010-01,101.671,
2010-04,106.173,
2010-07,106.646,
2010-10,103.204,
2011-01,95.635,
2011-04,95.319,
2011-07,101.942,
2011-10,101.411,
2012-01,100.220,
2012-04,105.293,
2012-07,106.821,
2012-10,107.614,
2013-01,105.132,
2013-04,108.217,
2013-07,104.886,
2013-10,105.665,
2014-01,107.464,
2014-04,109.942,
2014-07,107.759,
