"",BBK01.OEYM04G,BBK01.OEYM04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:49,
2002-01,0.892,
2002-04,1.506,
2002-07,1.321,
2002-10,0.741,
2003-01,0.878,
2003-04,0.927,
2003-07,0.608,
2003-10,0.688,
2004-01,0.578,
2004-04,0.512,
2004-07,0.573,
2004-10,0.445,
2005-01,0.435,
2005-04,0.839,
2005-07,0.348,
2005-10,0.202,
2006-01,1.250,
2006-04,1.375,
2006-07,1.654,
2006-10,1.971,
2007-01,1.735,
2007-04,3.239,
2007-07,4.746,
2007-10,4.227,
2008-01,4.718,
2008-04,7.832,
2008-07,6.849,
2008-10,6.532,
2009-01,5.679,
2009-04,1.559,
2009-07,1.698,
2009-10,2.406,
2010-01,1.547,
2010-04,2.622,
2010-07,4.482,
2010-10,1.847,
2011-01,2.667,
2011-04,4.474,
2011-07,2.185,
2011-10,1.732,
2012-01,2.148,
2012-04,2.183,
2012-07,3.334,
2012-10,4.604,
2013-01,2.125,
2013-04,0.513,
2013-07,2.905,
2013-10,5.928,
2014-01,4.394,
2014-04,6.383,
2014-07,7.595,
