"",BBK01.OEAB22N,BBK01.OEAB22N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:35,
2002-01,5.114,
2002-04,4.916,
2002-07,4.477,
2002-10,5.528,
2003-01,7.137,
2003-04,6.627,
2003-07,5.853,
2003-10,6.140,
2004-01,11.057,
2004-04,7.442,
2004-07,7.189,
2004-10,9.428,
2005-01,9.794,
2005-04,9.160,
2005-07,8.816,
2005-10,8.574,
2006-01,10.272,
2006-04,9.009,
2006-07,8.644,
2006-10,8.246,
2007-01,10.305,
2007-04,6.895,
2007-07,6.728,
2007-10,6.716,
2008-01,7.535,
2008-04,7.925,
2008-07,8.245,
2008-10,8.693,
2009-01,6.572,
2009-04,7.072,
2009-07,8.355,
2009-10,8.288,
2010-01,8.542,
2010-04,22.293,
2010-07,15.379,
2010-10,15.627,
2011-01,14.019,
2011-04,10.985,
2011-07,8.775,
2011-10,8.464,
2012-01,10.678,
2012-04,18.864,
2012-07,14.693,
2012-10,6.677,
2013-01,8.549,
2013-04,9.147,
2013-07,9.151,
2013-10,8.297,
2014-01,9.782,
2014-04,9.466,
2014-07,9.776,
