"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.US.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.US.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / United States,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:42,
2009-09,16430,
2009-10,15924,
2009-11,16006,
2009-12,17180,
2010-01,17141,
2010-02,17804,
2010-03,19128,
2010-04,19872,
2010-05,19475,
2010-06,19092,
2010-07,18854,
2010-08,18693,
2010-09,19003,
2010-10,19293,
2010-11,20538,
2010-12,21577,
2011-01,21171,
2011-02,21239,
2011-03,20517,
2011-04,20059,
2011-05,20231,
2011-06,19614,
2011-07,19515,
2011-08,17547,
2011-09,17497,
2011-10,18317,
2011-11,18336,
2011-12,19638,
2012-01,20401,
2012-02,20580,
2012-03,21096,
2012-04,20938,
2012-05,20955,
2012-06,21009,
2012-07,22390,
2012-08,22971,
2012-09,23226,
2012-10,22383,
2012-11,22630,
2012-12,22625,
2013-01,23676,
2013-02,25138,
2013-03,26789,
2013-04,26798,
2013-05,28049,
2013-06,26869,
2013-07,27864,
2013-08,27744,
2013-09,27721,
2013-10,27971,
2013-11,28183,
2013-12,28018,
2014-01,27706,
2014-02,28625,
2014-03,28559,
2014-04,28884,
2014-05,29675,
2014-06,30170,
2014-07,30456,
2014-08,31806,
2014-09,33079,
2014-10,33488,
2014-11,34934,
