"",BBK01.CEL7N0,BBK01.CEL7N0_FLAGS
"",Other accounts payable                                        debtor: Rest of the world                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:17,
1999-01,-3.3,
1999-04,2.0,
1999-07,3.5,
1999-10,5.6,
2000-01,0.1,
2000-04,9.3,
2000-07,4.1,
2000-10,7.5,
2001-01,3.0,
2001-04,2.8,
2001-07,-3.8,
2001-10,-3.9,
2002-01,-10.1,
2002-04,7.4,
2002-07,-6.8,
2002-10,-0.2,
2003-01,-0.2,
2003-04,1.0,
2003-07,-2.0,
2003-10,1.4,
2004-01,3.9,
2004-04,2.4,
2004-07,-2.0,
2004-10,0.8,
2005-01,3.6,
2005-04,5.1,
2005-07,1.6,
2005-10,4.7,
2006-01,15.0,
2006-04,3.9,
2006-07,1.6,
2006-10,2.7,
2007-01,8.8,
2007-04,0.7,
2007-07,0.6,
2007-10,3.3,
2008-01,11.8,
2008-04,4.3,
2008-07,-1.9,
2008-10,-5.2,
2009-01,-1.5,
2009-04,0.2,
2009-07,-0.7,
2009-10,2.9,
2010-01,4.8,
2010-04,7.1,
2010-07,4.0,
2010-10,0.3,
2011-01,10.4,
2011-04,3.8,
2011-07,3.4,
2011-10,-0.1,
2012-01,11.2,
2012-04,1.5,
2012-07,-4.3,
2012-10,-2.8,
2013-01,11.7,
2013-04,9.9,
2013-07,13.8,
2013-10,9.9,
2014-01,-24.2,
2014-04,-1.5,
2014-07,3.0,
