"",BBK01.QUX589,BBK01.QUX589_FLAGS
"","Consolidated German banks: Claims on non-residents, total (excluding participating interests) / Nigeria / Currency of the debtor country",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:34:54,
2002-03,0.000,
2002-04,0.000,
2002-05,0.000,
2002-06,0.000,
2002-07,0.000,
2002-08,0.000,
2002-09,0.000,
2002-10,0.000,
2002-11,0.000,
2002-12,0.000,
2003-01,0.000,
2003-02,0.000,
2003-03,0.000,
2003-04,0.000,
2003-05,0.000,
2003-06,0.000,
2003-07,0.000,
2003-08,0.000,
2003-09,0.000,
2003-10,0.000,
2003-11,0.000,
2003-12,0.000,
2004-01,0.002,
2004-02,0.002,
2004-03,0.003,
2004-04,0.004,
2004-05,0.004,
2004-06,0.004,
2004-07,0.003,
2004-08,0.010,
2004-09,0.006,
2004-10,0.006,
2004-11,0.021,
2004-12,0.047,
2005-01,0.060,
2005-02,0.046,
2005-03,0.107,
2005-04,0.100,
2005-05,0.086,
2005-06,0.026,
2005-07,0.026,
2005-08,0.000,
2005-09,0.000,
2005-10,0.000,
2005-11,0.000,
2005-12,0.000,
2006-01,0.026,
2006-02,0.038,
2006-03,0.044,
2006-04,0.041,
2006-05,0.039,
2006-06,0.100,
2006-07,0.142,
2006-08,0.127,
2006-09,0.130,
2006-10,0.114,
2006-11,0.113,
2006-12,0.112,
2007-01,0.132,
2007-02,0.077,
2007-03,0.062,
2007-04,0.060,
2007-05,0.078,
2007-06,0.081,
2007-07,0.076,
2007-08,0.054,
2007-09,0.051,
2007-10,0.129,
2007-11,0.129,
2007-12,0.131,
2008-01,0.142,
2008-02,0.130,
2008-03,0.124,
2008-04,0.116,
2008-05,0.133,
2008-06,0.134,
2008-07,0.087,
2008-08,0.066,
2008-09,0.050,
2008-10,0.040,
2008-11,0.026,
2008-12,0.001,
2009-01,0.001,
2009-02,0.001,
2009-03,0.000,
2009-04,0.001,
2009-05,0.002,
2009-06,0.002,
2009-07,0.011,
2009-08,0.011,
2009-09,0.012,
2009-10,0.014,
2009-11,0.016,
2009-12,0.016,
2010-01,0.017,
2010-02,0.018,
2010-03,0.023,
2010-04,0.026,
2010-05,0.022,
2010-06,0.021,
2010-07,0.021,
2010-08,0.020,
2010-09,0.019,
2010-10,0.015,
2010-11,0.000,
2010-12,0.010,
2011-01,0.012,
2011-02,0.010,
2011-03,0.007,
2011-04,0.008,
2011-05,0.011,
2011-06,0.014,
2011-07,0.026,
2011-08,0.010,
2011-09,0.013,
2011-10,0.017,
2011-11,0.018,
2011-12,0.033,
2012-01,0.033,
2012-02,0.075,
2012-03,0.210,
2012-04,0.389,
2012-05,0.156,
2012-06,0.216,
2012-07,0.416,
2012-08,0.499,
2012-09,0.636,
2012-10,0.519,
2012-11,0.502,
2012-12,0.557,
2013-01,0.557,
2013-02,0.598,
2013-03,0.627,
2013-04,0.568,
2013-05,0.776,
2013-06,0.712,
2013-07,0.384,
2013-08,0.405,
2013-09,0.376,
2013-10,0.361,
2013-11,0.371,
2013-12,0.385,
2014-01,0.360,
2014-02,0.260,
2014-03,0.135,
2014-04,0.286,
2014-05,0.298,
2014-06,0.267,
2014-07,0.257,
2014-08,0.252,
2014-09,0.277,
2014-10,0.246,
