"",BBK01.OEAF23S,BBK01.OEAF23S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:56,
2002-01,0.121,
2002-04,0.119,
2002-07,0.116,
2002-10,0.116,
2003-01,0.115,
2003-04,0.113,
2003-07,0.112,
2003-10,0.110,
2004-01,0.105,
2004-04,0.113,
2004-07,0.124,
2004-10,0.130,
2005-01,0.133,
2005-04,0.136,
2005-07,0.140,
2005-10,0.139,
2006-01,0.136,
2006-04,0.133,
2006-07,0.130,
2006-10,0.130,
2007-01,0.129,
2007-04,0.121,
2007-07,0.122,
2007-10,0.117,
2008-01,0.119,
2008-04,0.118,
2008-07,0.118,
2008-10,0.115,
2009-01,0.115,
2009-04,0.116,
2009-07,0.121,
2009-10,0.121,
2010-01,0.125,
2010-04,0.138,
2010-07,0.168,
2010-10,0.164,
2011-01,0.166,
2011-04,0.172,
2011-07,0.178,
2011-10,0.180,
2012-01,0.184,
2012-04,0.189,
2012-07,0.192,
2012-10,0.194,
2013-01,0.195,
2013-04,0.194,
2013-07,0.189,
2013-10,0.186,
2014-01,0.188,
2014-04,0.195,
2014-07,0.207,
