"",BBK01.PQB361,BBK01.PQB361_FLAGS
"",Lending to domestic self-employed persons / Long-term / Commercial banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:22,
1968-10,1.624,
1969-01,1.722,
1969-04,1.853,
1969-07,1.966,
1969-10,2.178,
1970-01,2.282,
1970-04,2.382,
1970-07,2.445,
1970-10,2.553,
1971-01,2.572,
1971-04,2.702,
1971-07,2.872,
1971-10,3.088,
1972-01,3.180,
1972-04,3.303,
1972-07,3.456,
1972-10,3.727,
1973-01,3.894,
1973-04,4.015,
1973-07,4.071,
1973-10,4.161,
1974-01,4.172,
1974-04,4.187,
1974-07,4.267,
1974-10,4.365,
1975-01,4.428,
1975-04,4.547,
1975-07,4.797,
1975-10,5.109,
1976-01,5.200,
1976-04,5.394,
1976-07,5.678,
1976-10,5.988,
1977-01,6.075,
1977-04,6.261,
1977-07,6.579,
1977-10,6.938,
1978-01,7.056,
1978-04,7.236,
1978-07,7.585,
1978-10,8.019,
1979-01,8.312,
1979-04,8.761,
1979-07,9.070,
1979-10,9.421,
1980-01,9.458,
1980-04,9.594,
1980-07,9.638,
1980-10,9.855,
1981-01,10.175,
1981-04,10.203,
1981-07,10.261,
1981-10,10.279,
1982-01,10.167,
1982-04,10.122,
1982-07,10.264,
1982-10,10.706,
1983-01,10.885,
1983-04,11.374,
1983-07,11.753,
1983-10,12.415,
1984-01,12.575,
1984-04,12.909,
1984-07,13.310,
1984-10,13.972,
1985-01,14.412,
1985-04,14.767,
1985-07,15.230,
1985-10,16.281,
1986-01,16.597,
1986-04,17.233,
1986-07,17.934,
1986-10,19.154,
1987-01,19.601,
1987-04,20.137,
1987-07,21.035,
1987-10,21.931,
1988-01,22.503,
1988-04,23.199,
1988-07,24.213,
1988-10,25.205,
1989-01,26.130,
1989-04,27.224,
1989-07,27.997,
1989-10,29.546,
1990-01,30.442,
1990-04,31.223,
1990-07,31.889,
1990-10,33.153,
1991-01,33.971,
1991-04,35.095,
1991-07,36.290,
1991-10,38.380,
1992-01,39.629,
1992-04,40.893,
1992-07,42.283,
1992-10,44.171,
1993-01,45.472,
1993-04,47.089,
1993-07,48.977,
1993-10,52.523,
1994-01,54.672,
1994-04,56.524,
1994-07,57.936,
1994-10,60.072,
1995-01,60.523,
1995-04,61.609,
1995-07,62.816,
1995-10,65.330,
1996-01,66.781,
1996-04,68.164,
1996-07,69.415,
1996-10,72.741,
1997-01,74.209,
1997-04,75.467,
1997-07,76.673,
1997-10,78.776,
1998-01,80.048,
1998-04,80.992,
1998-07,82.122,
1998-10,84.163,
1999-01,77.868,
1999-04,77.863,
1999-07,78.517,
1999-10,79.330,
2000-01,79.080,
2000-04,80.498,
2000-07,81.167,
2000-10,81.314,
2001-01,81.224,
2001-04,81.785,
2001-07,81.293,
2001-10,81.436,
2002-01,81.083,
2002-04,80.869,
2002-07,80.435,
2002-10,79.706,
2003-01,78.928,
2003-04,77.951,
2003-07,76.249,
2003-10,74.879,
2004-01,74.063,
2004-04,73.680,
2004-07,73.059,
2004-10,72.434,
2005-01,71.754,
2005-04,71.079,
2005-07,68.142,
2005-10,67.913,
2006-01,67.371,
2006-04,66.347,
2006-07,65.158,
2006-10,64.037,
2007-01,63.157,
2007-04,62.178,
2007-07,61.393,
2007-10,61.376,
2008-01,60.627,
2008-04,60.155,
2008-07,59.213,
2008-10,58.169,
2009-01,57.138,
2009-04,56.998,
2009-07,56.285,
2009-10,55.515,
2010-01,54.991,
2010-04,54.525,
2010-07,54.131,
2010-10,53.578,
2011-01,53.177,
2011-04,52.854,
2011-07,52.726,
2011-10,51.945,
2012-01,51.170,
2012-04,51.140,
2012-07,50.925,
2012-10,50.836,
2013-01,50.634,
2013-04,50.832,
2013-07,51.440,
2013-10,51.402,
2014-01,51.308,
2014-04,51.504,
2014-07,51.533,
2014-10,51.829,
