"",BBK01.OEBL06V,BBK01.OEBL06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:50,
2002-01,0.314,
2002-04,0.322,
2002-07,0.301,
2002-10,0.293,
2003-01,0.287,
2003-04,0.206,
2003-07,0.187,
2003-10,0.178,
2004-01,0.187,
2004-04,0.178,
2004-07,0.172,
2004-10,0.146,
2005-01,0.157,
2005-04,0.146,
2005-07,0.142,
2005-10,0.133,
2006-01,0.133,
2006-04,0.139,
2006-07,0.155,
2006-10,0.159,
2007-01,0.163,
2007-04,0.177,
2007-07,0.179,
2007-10,0.207,
2008-01,0.237,
2008-04,0.271,
2008-07,0.290,
2008-10,0.316,
2009-01,0.344,
2009-04,0.302,
2009-07,0.273,
2009-10,0.241,
2010-01,0.249,
2010-04,0.305,
2010-07,0.335,
2010-10,0.353,
2011-01,0.379,
2011-04,0.461,
2011-07,0.493,
2011-10,0.496,
2012-01,0.495,
2012-04,0.505,
2012-07,0.494,
2012-10,0.447,
2013-01,0.391,
2013-04,0.328,
2013-07,0.319,
2013-10,0.318,
2014-01,0.311,
2014-04,0.286,
2014-07,0.259,
